id,jlpt_level,word,reading,image_review,meaning,Sentence(eg),Sentence(zh),Sentence,meaning_zh,meaning_zh_needs_review,meaning_zh_note,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source,meaning_zh_source,meaning_zh_review,Sentence(zh)_needs_review,Sentence(zh)_note
n5_08171,N5,歯,は,OK,tooth,Have you brushed your teeth?,你刷牙了吗？,歯は磨いたの？,,,,noun (common) (futsuumeishi),"tooth | teeth | tooth (of a comb, saw, etc.) | cog | support (of a geta)",direct_image,84,single_object_or_place,body_health,tooth,歯,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
n5_08224,N5,目,め,OK,eye,Are your eyes bad?,你眼睛不好吗?,目が悪いの？,,,,noun (common) (futsuumeishi),eye | eyeball | eyesight | sight | vision,direct_image,84,single_object_or_place,body_health,eye,目,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
n5_08251,N5,耳,みみ,OK,ear,I heard it through the grapevine.,我听传闻说的。,小耳に挟んだよ。,,,,noun (common) (futsuumeishi),"ear | hearing | ear (for music, etc.) | edge | crust",direct_image,84,single_object_or_place,body_health,ear,耳,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
n5_08269,N5,薬,くすり,OK,medicine,Have you taken your medicine yet?,您已经吃过药了吗？,お薬飲んだ？,,,,noun (common) (futsuumeishi),medicine | pharmaceuticals | (legal) drugs | pill | ointment,direct_image,84,single_object_or_place,body_health,medicine,薬,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
n5_08297,N5,足,あし,OK,"foot,leg",My foot hurts,我的脚痛。,足が痛い。,,,,noun (common) (futsuumeishi),"foot | paw | arm (of an octopus, squid, etc.) | leg | gait",direct_image,84,single_object_or_place,body_health,foot,足,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
n5_08364,N5,鼻,はな,OK,nose,My nose is so itchy,我的鼻子好痒,鼻が痒いよ。,,,,noun (common) (futsuumeishi),nose,direct_image,84,single_object_or_place,body_health,nose,鼻,body_health,concrete noun domain: body_health,Tanos JLPT vocabulary,,,,
n5_07832,N5,コート,コート,OK,"coat,tennis court",Aren't you going to take off your coat?,不把外套脱下来吗？,コート脱いだら？,,,,noun (common) (futsuumeishi),coat | coating,direct_image,84,single_object_or_place,clothing,coat,コート,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,,,
n5_07834,N5,シャツ,シャツ,OK,shirt,He took off his shirt.,他把衬衫脱了。,シャツを脱いだ。,,,,noun (common) (futsuumeishi),shirt (undergarment) | undershirt | singlet | shirt (outerwear; usu. with collar and buttons),direct_image,84,single_object_or_place,clothing,shirt,シャツ,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,,,
n5_07836,N5,スカート,スカート,OK,skirt,Isn't that dress a bit too short?,那条裙子是不是太短了？,そのスカート、短すぎない？,,,,noun (common) (futsuumeishi),skirt,direct_image,84,single_object_or_place,clothing,skirt,スカート,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,,,
n5_07880,N5,ワイシャツ,ワイシャツ,OK,business shirt,Business shirts are quite formal,商务衬衫很正式哦,ワイシャツはとてもフォーマルだよ,,,,noun (common) (futsuumeishi),(formal) shirt | dress shirt | business shirt | button-up shirt,direct_image,84,single_object_or_place,clothing,business shirt,ワイシャツ,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,,,
n5_07901,N5,上着,うわぎ,OK,jacket,He put on a red jacket.,他穿上了红色的外套。,彼はその赤い上着を着た。,,,,noun (common) (futsuumeishi),coat | jacket | outerwear | top | upper-body garment,direct_image,84,single_object_or_place,clothing,jacket,上着,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,,,
n5_08079,N5,帽子,ぼうし,OK,hat,Which hat is yours?,哪顶帽子是你的？,君の帽子はどれ？,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,hat | cap | cap (move),direct_image,84,single_object_or_place,clothing,hat,帽子,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,,,
n5_08184,N5,洋服,ようふく,OK,western-style clothes,This dress is really cheap.,这条连衣裙很便宜。,この洋服はお買い得です。,,,,noun (common) (futsuumeishi),Western-style clothes (cf. traditional Japanese clothes),direct_image,84,single_object_or_place,clothing,western-style clothes,洋服,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,,,
n5_08340,N5,靴,くつ,OK,shoes,What do you think of these shoes?,你觉得这双鞋子怎么样？,この靴どう思う？,,,,noun (common) (futsuumeishi),shoe | shoes | boots | footwear | footgear,direct_image,84,single_object_or_place,clothing,shoes,靴,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,,,
n5_08341,N5,靴下,くつした,OK,socks,I can't find my socks!,我找不到我的袜子！,靴下を見つけなかった！,,,,noun (common) (futsuumeishi),socks | sock | stockings | stocking,direct_image,84,single_object_or_place,clothing,socks,靴下,clothing,concrete noun domain: clothing,Tanos JLPT vocabulary,,,,
n5_07736,N5,お茶,おちゃ,OK,green tea,Have some tea.,喝茶。,お茶を飲みなさい。,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,tea (esp. green or barley) | tea break | teatime | tea ceremony,direct_image,84,single_object_or_place,food_drink,green tea,お茶,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_07777,N5,ちゃわん,ちゃわん,OK,rice bowl,There's a cup on the table.,桌上有个杯子。,テーブルの上に茶碗があります。,,,,noun (common) (futsuumeishi),rice bowl | tea cup | teacup,direct_image,84,single_object_or_place,food_drink,rice bowl,ちゃわん,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_07786,N5,とり肉,とりにく,OK,chicken meat,She bought some chicken.,她买了鸡肉。,彼女は鶏肉を買った。,,,,noun (common) (futsuumeishi),chicken meat | fowl | poultry | bird meat,direct_image,84,single_object_or_place,food_drink,chicken meat,とり肉,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_07833,N5,コーヒー,コーヒー,OK,coffee,Do you drink coffee?,你喝咖啡吗？,コーヒーを飲むの？,,,,noun (common) (futsuumeishi),coffee,direct_image,84,single_object_or_place,food_drink,coffee,コーヒー,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_07860,N5,パン,パン,OK,bread,I don't eat bread.,我不吃面包。,パンは食べません。,,,,noun (common) (futsuumeishi),bread | (sweet) pastry | staff of life | one's bread,direct_image,84,single_object_or_place,food_drink,bread,パン,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_07998,N5,卵,たまご,OK,egg,The bird lays eggs.,鸟下蛋。,鳥は卵を産む。,,,,noun (common) (futsuumeishi),eggs | egg | spawn | roe | (hen's) egg,direct_image,84,single_object_or_place,food_drink,egg,卵,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08015,N5,喫茶店,きっさてん,OK,coffee lounge,I had a cup of coffee at the café.,我在咖啡店里喝了一杯咖啡。,喫茶店でコーヒーを一杯飲んだの。,,,,noun (common) (futsuumeishi),coffee shop | tearoom | coffee lounge | coffeehouse | cafe,direct_image,84,single_object_or_place,food_drink,coffee lounge,喫茶店,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08095,N5,御飯,ごはん,OK,"cooked rice,meal",We went for a walk after having dinner.,我们在吃过晚餐后出去散步了。,僕らは晩御飯の後散歩に出た。,,,,noun (common) (futsuumeishi),cooked rice | meal,direct_image,84,single_object_or_place,food_drink,cooked rice,御飯,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08129,N5,昼御飯,ひるごはん,OK,midday meal,NO,NO,NO,,,,noun (common) (futsuumeishi),lunch | midday meal,direct_image,84,single_object_or_place,food_drink,midday meal,昼御飯,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08134,N5,晩御飯,ばんごはん,OK,evening meal,Thanks for this lovely dinner.,为这美好的晚餐谢谢你。,おいしい晩御飯をありがとうございました。,,,,noun (common) (futsuumeishi),dinner | evening meal,direct_image,84,single_object_or_place,food_drink,evening meal,晩御飯,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08161,N5,果物,くだもの,OK,fruit,He sells fruit,他卖水果。,彼は果物を売る。,,,,noun (common) (futsuumeishi),fruit,direct_image,84,single_object_or_place,food_drink,fruit,果物,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08179,N5,水,みず,OK,water,Water is life,水就是生命。,水は生命です。,,,,noun (common) (futsuumeishi),water (esp. cool or cold) | fluid (esp. in an animal tissue) | liquid | flood | floodwaters,direct_image,84,single_object_or_place,food_drink,water,水,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08200,N5,牛乳,ぎゅうにゅう,OK,milk,The milk has gone off.,牛奶变质了。,牛乳が腐った。,,,,noun (common) (futsuumeishi),(cow's) milk,direct_image,84,single_object_or_place,food_drink,milk,牛乳,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08230,N5,砂糖,さとう,OK,sugar,Don't add sugar.,不要放砂糖。,砂糖はいらないよ。,,,,noun (common) (futsuumeishi),sugar,direct_image,84,single_object_or_place,food_drink,sugar,砂糖,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08239,N5,紅茶,こうちゃ,OK,black tea,Please give me a cup of tea.,请给我一杯茶。,紅茶をください。,,,,noun (common) (futsuumeishi),black tea,direct_image,84,single_object_or_place,food_drink,black tea,紅茶,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08253,N5,肉,にく,OK,meat,My whole body aches.,我全身酸痛。,全身筋肉痛だ。,,,,noun (common) (futsuumeishi),flesh | meat | flesh (of a fruit) | pulp | the physical body (as opposed to the spirit),direct_image,84,single_object_or_place,food_drink,meat,肉,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08315,N5,野菜,やさい,OK,vegetable,What's your favourite vegetable?,你最喜欢什么蔬菜？,好きな野菜は何ですか？,,,,noun (common) (futsuumeishi),vegetable | marijuana | cannabis,direct_image,84,single_object_or_place,food_drink,vegetable,野菜,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08350,N5,食べ物,たべもの,OK,food,We have enough food,我们有足够的食物。,食べ物は十分あるわ。,,,,noun (common) (futsuumeishi),food,direct_image,84,single_object_or_place,food_drink,food,食べ物,food_drink,concrete noun domain: food_drink,Tanos JLPT vocabulary,,,,
n5_08046,N5,天気,てんき,OK,weather,What terrible weather!,多么糟糕的天气啊！,ひどい天気！,,,,noun (common) (futsuumeishi),weather | fair weather | fine weather,direct_image,84,single_object_or_place,nature_weather,weather,天気,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,,,
n5_08141,N5,曇り,くもり,OK,cloudy weather,Today is a cloudy day.,今天是个多云的日子。,曇りの日です。,,,,noun (common) (futsuumeishi),"cloudiness | cloudy weather | fog (on a mirror, glasses, etc.) | cloud (e.g. in marble) | blur",direct_image,84,single_object_or_place,nature_weather,cloudy weather,曇り,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,,,
n5_08150,N5,木,き,OK,"tree,wood",Wood can float.,木头会漂浮。,木が浮く。,,,,noun (common) (futsuumeishi),tree | shrub | bush | wood | timber,direct_image,84,single_object_or_place,nature_weather,tree,木,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,,,
n5_08187,N5,海,うみ,OK,sea,The sea is blue.,大海是蓝色的。,その海は青い。,,,,noun (common) (futsuumeishi),sea | ocean | waters,direct_image,84,single_object_or_place,nature_weather,sea,海,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,,,
n5_08261,N5,花,はな,OK,flower,Real flowers?,真花？,本物の花？,,,,noun (common) (futsuumeishi),flower | blossom | bloom | petal | cherry blossom,direct_image,84,single_object_or_place,nature_weather,flower,花,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,,,
n5_08331,N5,雨,あめ,OK,rain,Is it raining?,在下雨吗？,雨降ってる？,,,,noun (common) (futsuumeishi),rain | rainy day | rainy weather | the November suit (in hanafuda),direct_image,84,single_object_or_place,nature_weather,rain,雨,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,,,
n5_08332,N5,雪,ゆき,OK,snow,It's snowing.,下雪了。,雪が降る。,,,,noun (common) (futsuumeishi),snow | snowfall,direct_image,84,single_object_or_place,nature_weather,snow,雪,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,,,
n5_07718,N5,椅子,いす / イス,OK,chair,This chair is really light.,这把椅子很轻。,この椅子は軽い。,,,,noun (common) (futsuumeishi),chair | seat | stool | bench | post,direct_image,84,single_object_or_place,object_tool,chair,いす,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07739,N5,お金,おかね,OK,money,Do you have any money?,你有钱吗？,お金ある？,,,,noun (common) (futsuumeishi),money,direct_image,84,single_object_or_place,object_tool,money,お金,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07742,N5,鍵,かぎ / カギ,OK,key,I lost my keys.,我丢了我的钥匙。,鍵をなくした。,,,,noun (common) (futsuumeishi),"key | lock | key (to a problem, success, etc.) | clue",direct_image,84,single_object_or_place,object_tool,key,かぎ,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07744,N5,かばん,かばん,OK,"bag,basket",I want that bag.,我想要那个袋子。,あの鞄が欲しい。,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,going off duty,direct_image,84,single_object_or_place,object_tool,bag,かばん,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07821,N5,カップ,カップ,OK,cup,Which one is your cup?,哪个是你的杯子？,どのカップがあなたのですか。,,,,noun (common) (futsuumeishi),"cup (drinking vessel, measure, brassiere, prize, etc.)",direct_image,84,single_object_or_place,object_tool,cup,カップ,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07822,N5,カメラ,カメラ / キャメラ,OK,camera,Do you have a camera?,你有照相机吗？,カメラはお持ちですか？,,,,noun (common) (futsuumeishi),camera,direct_image,84,single_object_or_place,object_tool,camera,カメラ,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07830,N5,コップ,コップ / コツフ,OK,a glass,Whose cup is this?,这是谁的杯子？,このコップ誰の？,,,,noun (common) (futsuumeishi),glass (drinking vessel) | tumbler | cups (suit),direct_image,84,single_object_or_place,object_tool,glass,コップ,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07838,N5,スプーン,スプーン / スプン,OK,spoon,There's a spoon missing.,少了一把勺子。,スプーンがありません。,,,,noun (common) (futsuumeishi),spoon | spoon lure,direct_image,84,single_object_or_place,object_tool,spoon,スプーン,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07847,N5,テーブル,テーブル,OK,table,This table is really heavy.,这张桌子很重。,このテーブルは重たい。,,,,noun (common) (futsuumeishi),table,direct_image,84,single_object_or_place,object_tool,table,テーブル,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07853,N5,ナイフ,ナイフ,OK,knife,I need a knife.,我需要一把刀。,ナイフが必要だ。,,,,noun (common) (futsuumeishi),knife,direct_image,84,single_object_or_place,object_tool,knife,ナイフ,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07863,N5,フォーク,フォーク / ホーク,OK,fork,I want a fork.,我想要一把叉子。,フォークを下さい。,,,,noun (common) (futsuumeishi),fork | forkball,direct_image,84,single_object_or_place,object_tool,fork,フォーク,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07867,N5,ペン,ペン,OK,pen,Careful! The paint is still wet,注意！油漆未干,ペンキ塗りたて注意,,,,noun (common) (futsuumeishi),pen,direct_image,84,single_object_or_place,object_tool,pen,ペン,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07871,N5,ボールペン,ボールペン / ボール・ペン,OK,ball-point pen,Can you write with a ballpoint pen?,你能用圆珠笔写吗？,ボールペンでご記入いただけますか？,,,,noun (common) (futsuumeishi),ball-point pen,direct_image,84,single_object_or_place,object_tool,ball-point pen,ボールペン,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07893,N5,万年筆,まんねんひつ,OK,fountain pen,I bought a new fountain pen.,我买了新钢笔。,新しい万年筆買ったんだ。,,,,noun (common) (futsuumeishi),fountain pen,direct_image,84,single_object_or_place,object_tool,fountain pen,万年筆,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07923,N5,交番,こうばん,OK,police box,Ask at the police station over there.,问那边的警察岗哨。,向こうの交番で聞いてください。,,,,noun (common) (futsuumeishi) | noun or verb acting prenominally,"police box | koban | small neighborhood police station | alternation | alternating (current, stress, etc.)",direct_image,84,single_object_or_place,object_tool,police box,交番,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07948,N5,傘,かさ,OK,umbrella,I can't recall who I lent my umbrella to.,我想不起来把伞借给谁了。,傘を誰に貸したのか思い出せないんだ。,,,,noun (common) (futsuumeishi),umbrella | parasol | something shaped like an umbrella or a conical hat | shade (of a lamp) | mushroom cap,direct_image,84,single_object_or_place,object_tool,umbrella,傘,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07980,N5,切符,きっぷ,OK,ticket,The ticket is valid until October twentieth.,这张票有效期到10月20日。,この切符は10月20日まで有効です。,,,,noun (common) (futsuumeishi),ticket,direct_image,84,single_object_or_place,object_tool,ticket,切符,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08024,N5,地図,ちず,OK,map,Here's a big map of Germany.,这儿有张很大的德国地图。,ここにドイツの大きな地図があります。,,,,noun (common) (futsuumeishi),map | atlas | chart | plan,direct_image,84,single_object_or_place,object_tool,map,地図,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08103,N5,手紙,てがみ,OK,letter,He writes me a letter every week.,他每周写一封信给我。,毎週、手紙を書いて送ってくれるのよ。,,,,noun (common) (futsuumeishi),letter | note,direct_image,84,single_object_or_place,object_tool,letter,手紙,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08115,N5,新聞,しんぶん,OK,newspaper,My husband reads the newspaper while eating breakfast.,我丈夫一边吃早餐一边读报纸。,夫は朝食を食べながら新聞を読みます。,,,,noun (common) (futsuumeishi),newspaper,direct_image,84,single_object_or_place,object_tool,newspaper,新聞,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08131,N5,時計,とけい,OK,"watch,clock",I need to set my watch to two minutes faster.,我得把手表调快两分钟。,腕時計、2分早くセットしなくっちゃ。,,,,noun (common) (futsuumeishi),clock | watch | timepiece,direct_image,84,single_object_or_place,object_tool,watch,時計,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08152,N5,本,ほん,OK,book,Tom works for a Japanese company.,汤姆在日本的一家公司工作。,トムさんは日本の会社で働いています。,,,,noun (common) (futsuumeishi),origin | source | beginning | basis | base,direct_image,84,single_object_or_place,object_tool,book,本,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08154,N5,机,つくえ,OK,desk,There is a book about dancing on the desk.,桌子上有一本关于舞蹈的书。,ダンスに関する本が机の上にあります。,,,,noun (common) (futsuumeishi),desk,direct_image,84,single_object_or_place,object_tool,desk,机,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08238,N5,箱,はこ,OK,box,This box is really heavy. What's in it?,这个箱子真重啊。里面是什么？,この箱、すごく重いな。中身は何なの？,,,,noun (common) (futsuumeishi),box | case | chest | package | pack,direct_image,84,single_object_or_place,object_tool,box,箱,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08240,N5,紙,かみ,OK,paper,He writes me a letter every week.,他每周写一封信给我。,毎週、手紙を書いて送ってくれるのよ。,,,,noun (common) (futsuumeishi),paper,direct_image,84,single_object_or_place,object_tool,paper,紙,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08262,N5,花瓶,かびん,OK,a vase,The vase that Tom broke is Mary's.,汤姆摔坏的是玛莉的花瓶。,トムが壊した花瓶はメアリーのなんだ。,,,,noun (common) (futsuumeishi),(flower) vase,direct_image,84,single_object_or_place,object_tool,vase,花瓶,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08267,N5,葉書,はがき,OK,postcard,I don't like to send postcards when I'm on a trip.,我不喜欢在旅行中寄明信片。,旅行中に葉書を出すのは好きではない。,,,,noun (common) (futsuumeishi),postcard | memo | note | card,direct_image,84,single_object_or_place,object_tool,postcard,葉書,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08317,N5,鉛筆,えんぴつ,OK,pencil,How long is this pencil?,这支铅笔有多长？,この鉛筆はどのくらい長いでしょうか？,,,,noun (common) (futsuumeishi),(wooden) pencil,direct_image,84,single_object_or_place,object_tool,pencil,鉛筆,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08329,N5,雑誌,ざっし,OK,magazine,Do you subscribe to any magazines?,你有订阅任何杂志吗？,あなたは何か雑誌を購読していますか。,,,,noun (common) (futsuumeishi),magazine | journal | periodical,direct_image,84,single_object_or_place,object_tool,magazine,雑誌,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_08335,N5,電話,でんわ,OK,telephone,I'm calling my friend from Kharkiv.,我正在从哈尔科夫给朋友打电话。,友達にハルキウから電話をかけてます。,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | intransitive verb,telephone call | phone call | telephone (device) | phone,direct_image,84,single_object_or_place,object_tool,telephone,電話,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,,,
n5_07726,N5,おばあさん,おばあさん / おばーさん,OK,"grandmother,female senior-citizen",She strongly resembles her grandmother.,她和她婆婆实在很像。,彼女はおばあさんに大変よく似ている。,,,,noun (common) (futsuumeishi),grandmother | old woman | female senior citizen,direct_image,84,single_object_or_place,person_family,grandmother,おばあさん,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,,,
n5_07729,N5,お兄さん,おにいさん,OK,(honorable) older brother,She introduced me to her brother.,她把我介绍给她的弟弟认识。,彼女は私をお兄さんに紹介してくれた。,,,,noun (common) (futsuumeishi),older brother | elder brother | young man | buddy | fella,direct_image,84,single_object_or_place,person_family,older brother,お兄さん,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,,,
n5_07730,N5,お姉さん,おねえさん,OK,(honorable) older sister,You don't get up as early as your sister.,你比你妹妹起得晚，不是么？,君はお姉さんほど早く起きないんだね。,,,,noun (common) (futsuumeishi),older sister | elder sister | young lady | miss | ma'am,direct_image,84,single_object_or_place,person_family,older sister,お姉さん,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,,,
n5_07734,N5,お父さん,おとうさん,OK,(honorable) father,His father is a bus driver.,我爸爸是公交车司机哦。,お父さんは、バスの運転手さんなのよ。,,,,noun (common) (futsuumeishi),father | dad | papa | pa | pop,direct_image,84,single_object_or_place,person_family,father,お父さん,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,,,
n5_07883,N5,一人,ひとり,OK,one person,Tom didn't want to stay at home by himself.,汤姆不想一个人看家。,トムは一人で留守番をしたくなかった。,,,,noun (common) (futsuumeishi) | adverb (fukushi),one person | being alone | being by oneself | being single | being unmarried,direct_image,84,single_object_or_place,person_family,one person,一人,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,,,
n5_07915,N5,二人,ふたり,OK,two people,I am married and have two children.,我结婚了，而且有两个孩子。,私、結婚してて、二人の子持ちなのよ。,,,,noun (common) (futsuumeishi),two persons | two people | pair | couple,direct_image,84,single_object_or_place,person_family,two people,二人,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,,,
