id,jlpt_level,word,reading,image_review,meaning,meaning_zh,meaning_zh_needs_review,meaning_zh_note,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source,meaning_zh_source,meaning_zh_review
n1_03333,N1,防火,ぼうか,NO PICTURE,fire prevention;fire fighting;fire proof,,,,noun (common) (futsuumeishi),fire prevention | fire control | fireproofing,direct_image,84,single_object_or_place,nature_weather,fire prevention,防火,nature_weather,concrete noun domain: nature_weather,Tanos JLPT vocabulary,,
n1_01946,N1,時刻表,じこくひょう,NO PICTURE,table;diagram;chart;timetable;schedule,,,,noun (common) (futsuumeishi),timetable | schedule,direct_image,84,single_object_or_place,object_tool,table,時刻表,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,
n1_01966,N1,書評,しょひょう,NO PICTURE,book review,,,,noun (common) (futsuumeishi),book review,direct_image,84,single_object_or_place,object_tool,book review,書評,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,
n1_02212,N1,流通,りゅうつう,NO PICTURE,circulation of money or goods;flow of water or air;distribution,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,"circulation (of money, goods, etc.) | distribution | circulation (of air, water, etc.) | ventilation | flow",direct_image,84,single_object_or_place,object_tool,circulation of money or goods,流通,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,
n1_02330,N1,無駄遣い,むだづかい,NO PICTURE,waste money on;squander money on;flog a dead horse,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,"waste (of money, time, etc.) | squandering | frittering away",direct_image,84,single_object_or_place,object_tool,waste money on,無駄遣い,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,
n1_02840,N1,英字,えいじ,NO PICTURE,English letter (character),,,,noun (common) (futsuumeishi),English letter | alphabetic character,direct_image,84,single_object_or_place,object_tool,English letter,英字,object_tool,concrete noun domain: object_tool,Tanos JLPT vocabulary,,
n1_00368,N1,万人,ばんじん,NO PICTURE,all people;everybody;10000 people,,,,noun (common) (futsuumeishi),all people | everybody,direct_image,84,single_object_or_place,person_family,all people,万人,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,
n1_00499,N1,人材,じんざい,NO PICTURE,man of talent,,,,noun (common) (futsuumeishi),capable person | talented person | human resources | personnel,direct_image,84,single_object_or_place,person_family,man of talent,人材,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,
n1_00502,N1,人民,じんみん,NO PICTURE,people;public,,,,noun (common) (futsuumeishi),the people | citizens | the populace,direct_image,84,single_object_or_place,person_family,people,人民,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,
n1_00708,N1,先代,せんだい,NO PICTURE,family predecessor;previous age;previous generation,,,,noun (common) (futsuumeishi),previous generation (of a family) | previous head of the family | one's (late) father | predecessor | previous age,direct_image,84,single_object_or_place,person_family,family predecessor,先代,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,
n1_00810,N1,出来物,できもの,NO PICTURE,able man;tumour;growth;boil;ulcer;abcess;rash;pimple,,,,noun (common) (futsuumeishi),tumour | tumor | growth | boil | ulcer,direct_image,84,single_object_or_place,person_family,able man,出来物,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,
n1_01924,N1,旧知,きゅうち,NO PICTURE,old friend;old friendship,,,,noun (common) (futsuumeishi),old friend | old acquaintance,direct_image,84,single_object_or_place,person_family,old friend,旧知,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,
n1_02142,N1,民俗,みんぞく,NO PICTURE,people;race;nation;racial customs;folk customs,,,,noun (common) (futsuumeishi),folk customs | folkways | ethnic customs,direct_image,84,single_object_or_place,person_family,people,民俗,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,
n1_02144,N1,民族,みんぞく,NO PICTURE,people;race;nation;racial customs;folk customs,,,,noun (common) (futsuumeishi),people | race | nation | ethnic group | ethnos,direct_image,84,single_object_or_place,person_family,people,民族,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary,,
n1_00556,N1,休学,きゅうがく,NO PICTURE,temporary absence from school;suspension,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,temporary absence from school,direct_image,84,single_object_or_place,place_building,temporary absence from school,休学,place_building,concrete noun domain: place_building,Tanos JLPT vocabulary,,
n1_00568,N1,位地,いち,NO PICTURE,place;situation;position;location,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,place | position | location | standing | status,direct_image,84,single_object_or_place,place_building,place,位地,place_building,concrete noun domain: place_building,Tanos JLPT vocabulary,,
n1_00603,N1,余地,よち,NO PICTURE,place;room;margin;scope,,,,noun (common) (futsuumeishi),place | room | margin | scope,direct_image,84,single_object_or_place,place_building,place,余地,place_building,concrete noun domain: place_building,Tanos JLPT vocabulary,,
n1_00726,N1,入賞,にゅうしょう,NO PICTURE,winning a prize or place (in a contest),,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,winning a prize | placing (high; in a contest),direct_image,84,single_object_or_place,place_building,winning a prize or place,入賞,place_building,concrete noun domain: place_building,Tanos JLPT vocabulary,,
n1_02087,N1,橋渡し,はしわたし,NO PICTURE,bridge building;mediation,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,mediation | good offices | go-between | intermediary | mediator,direct_image,84,single_object_or_place,place_building,bridge building,橋渡し,place_building,concrete noun domain: place_building,Tanos JLPT vocabulary,,
n1_02397,N1,現地,げんち,NO PICTURE,actual place;local,,,,noun (common) (futsuumeishi),actual place | actual location | the spot | the scene | the field,direct_image,84,single_object_or_place,place_building,actual place,現地,place_building,concrete noun domain: place_building,Tanos JLPT vocabulary,,
n1_03186,N1,退学,たいがく,NO PICTURE,dropping out of school,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,"dropping out of school | withdrawal from school | expulsion from school | dismissal | leaving school (university, etc.) after completing a course",direct_image,84,single_object_or_place,place_building,dropping out of school,退学,place_building,concrete noun domain: place_building,Tanos JLPT vocabulary,,
n1_00002,N1,あざ笑う,あざわらう,NO PICTURE,to sneer at;to ridicule,,,,Godan verb with 'u' ending | transitive verb,to laugh at | to ridicule | to mock | to make fun of | to sneer at,scene_image,72,person_action_scene,action_state,person sneering at,あざ笑う,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00009,N1,いく,いく,NO PICTURE,to come;to orgasm,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru,reverence | awe | fear,scene_image,72,person_action_scene,action_state,person coming,いく,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00024,N1,お出でになる,おいでになる,NO PICTURE,to be,,,,"expressions (phrases, clauses, etc.) | Godan verb with 'ru' ending",to be | to come | to go,scene_image,72,person_action_scene,action_state,person being,お出でになる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00058,N1,こだわる,こだわる,NO PICTURE,to fuss over;to be particular about;to be concerned about,,,,Godan verb with 'ru' ending | intransitive verb,to be obsessive (about) | to be overly concerned (with) | to fuss (over) | to worry too much (about) | to be picky (about),scene_image,72,person_action_scene,action_state,person fussing over,こだわる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00070,N1,しくじる,しくじる,NO PICTURE,to fail;to fall through;to blunder,,,,Godan verb with 'ru' ending | intransitive verb,to fail | to blunder | to mess up | to screw up | to be dismissed,scene_image,72,person_action_scene,action_state,person failing,しくじる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00108,N1,ばてる,バテる / ばてる,NO PICTURE,to be exhausted;to be worn out,,,,Ichidan verb | intransitive verb,to be exhausted | to be worn out,scene_image,72,person_action_scene,action_state,person being exhausted,ばてる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00119,N1,ぼやく,ぼやく / ボヤく,NO PICTURE,to grumble;to complain,,,,Godan verb with 'ku' ending | intransitive verb,to grumble | to complain,scene_image,72,person_action_scene,action_state,person grumbling,ぼやく,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00120,N1,ぼやける,ぼやける / ボヤける,NO PICTURE,to become dim;to become blurred,,,,Ichidan verb | intransitive verb,to become dim | to become blurred,scene_image,72,person_action_scene,action_state,person becoming dim,ぼやける,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00121,N1,まごつく,まごつく,NO PICTURE,to be confused;to be flustered,,,,Godan verb with 'ku' ending | intransitive verb,to be confused | to be flustered | to be at a loss | to loiter | to hang around,scene_image,72,person_action_scene,action_state,person being confused,まごつく,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00123,N1,やっ付ける,やっつける,NO PICTURE,to beat,,,,Ichidan verb | transitive verb,to beat | to attack (an enemy) | to do away with | to finish off,scene_image,72,person_action_scene,action_state,person beating,やっ付ける,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00125,N1,やり遂げる,やりとげる,NO PICTURE,to accomplish,,,,Ichidan verb | transitive verb,to accomplish | to finish | to carry through | to follow through,scene_image,72,person_action_scene,action_state,person accomplishing,やり遂げる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00154,N1,オープン,オープン,NO PICTURE,open,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb | transitive verb | adjectival nouns or quasi-adjectives (keiyodoshi) | noun or verb acting prenominally,"opening (a new store, golf course, runway, etc.) | open | frank | approachable | open-hearted",scene_image,72,person_action_scene,action_state,person openning,オープン,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00185,N1,サボる,サボる / さぼる,NO PICTURE,to be truant;to be idle;to sabotage by slowness,,,,Godan verb with 'ru' ending | transitive verb | intransitive verb,to be truant | to slack off | to play hooky | to skip school | to cut class,scene_image,72,person_action_scene,action_state,person being truant,サボる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00231,N1,ダブる,ダブる / だぶる,NO PICTURE,to coincide (fall on the same day);to have two of something;to repeat a school year after failing,,,,Godan verb with 'ru' ending | intransitive verb,"to be duplicated | to be repeated | to overlap | to fall together (of dates, etc.) | to coincide",scene_image,72,person_action_scene,action_state,person coinciding,ダブる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00380,N1,上回る,うわまわる,NO PICTURE,to exceed,,,,Godan verb with 'ru' ending | transitive verb,"to exceed (esp. figures: profits, unemployment rate, etc.) | to surpass | to be more than | to be better than",scene_image,72,person_action_scene,action_state,person exceeding,上回る,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00460,N1,乗っ取る,のっとる,NO PICTURE,to capture;to occupy;to usurp,,,,Godan verb with 'ru' ending | transitive verb,"to take possession of (forcibly) | to take over (a company, account, etc.) | to capture (a castle, enemy position, etc.) | to seize | to occupy",scene_image,72,person_action_scene,action_state,person capturing,乗っ取る,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00462,N1,乗り込む,のりこむ,NO PICTURE,to board;to embark on;to get into (a car);to ship (passengers);to man (a ship);to help (someone) int,,,,Godan verb with 'mu' ending | intransitive verb,"to board (a train, plane, etc.) | to get into (a car) | to get on (a bus) | to go on board | to get aboard",scene_image,72,person_action_scene,action_state,person boarding,乗り込む,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00466,N1,乱れる,みだれる,NO PICTURE,to get confused;to be disordered;to be disturbed,,,,Ichidan verb | intransitive verb,to be disordered | to be disarranged | to be disarrayed | to be disheveled | to be dishevelled,scene_image,72,person_action_scene,action_state,person getting confused,乱れる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00490,N1,交わる,まじわる,NO PICTURE,to cross;to intersect;to associate with;to mingle with;to interest;to join,,,,Godan verb with 'ru' ending | intransitive verb,to cross | to intersect | to join | to meet | to associate with,scene_image,72,person_action_scene,action_state,person crossing,交わる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00513,N1,仕える,つかえる,NO PICTURE,to serve;to work for,,,,Ichidan verb | intransitive verb,to serve | to work for | to attend,scene_image,72,person_action_scene,action_state,person serving,仕える,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00516,N1,仕上げる,しあげる,NO PICTURE,to finish up;to complete,,,,Ichidan verb | transitive verb,to finish up | to complete | to finish off | to get through | to polish off,scene_image,72,person_action_scene,action_state,person finishing up,仕上げる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00517,N1,仕付ける,しつける,NO PICTURE,to be used to a job;to begin to do;to baste;to tack;to plant,,,,Ichidan verb | transitive verb,to be used to | to get accustomed to | to be in the habit of doing | to train | to discipline,scene_image,72,person_action_scene,action_state,person being used to a job,仕付ける,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00518,N1,仕入れる,しいれる,NO PICTURE,to lay in stock;to replenish stock;to procure,,,,Ichidan verb | transitive verb,"to buy (stock, materials, etc.) | to purchase | to lay in | to stock | to procure",scene_image,72,person_action_scene,action_state,person laying in stock,仕入れる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00519,N1,仕切る,しきる,NO PICTURE,to partition;to divide;to mark off;to settle accounts;to toe the mark,,,,Godan verb with 'ru' ending | transitive verb,to partition | to divide | to mark off | to direct | to manage,scene_image,72,person_action_scene,action_state,person partitioning,仕切る,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00521,N1,仕掛ける,しかける,NO PICTURE,to commence;to lay (mines);to set (traps);to wage (war);to challenge,,,,Ichidan verb | transitive verb,to start | to begin | to commence | to challenge | to pick (a fight),scene_image,72,person_action_scene,action_state,person commencing,仕掛ける,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00532,N1,付き合う,つきあう,NO PICTURE,to associate with;to keep company with;to get on with,,,,Godan verb with 'u' ending | intransitive verb,to associate with | to keep company with | to go out with | to go steady with | to get on with,scene_image,72,person_action_scene,action_state,person associating with,付き合う,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00533,N1,付け加える,つけくわえる,NO PICTURE,to add one thing to another,,,,Ichidan verb | transitive verb,"to add (one thing to another) | to add (a few more words, an explanation, etc.)",scene_image,72,person_action_scene,action_state,person adding one thing to another,付け加える,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00538,N1,代わる,かわる,NO PICTURE,to take the place of;to relieve;to be substituted for;to be exchanged;to change places with;to take,,,,Godan verb with 'ru' ending | intransitive verb,to succeed | to relieve | to replace | to take the place of | to substitute for,scene_image,72,person_action_scene,action_state,person taking the place of,代わる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00549,N1,任す,まかす,NO PICTURE,to entrust;to leave to a person,,,,Godan verb with 'su' ending | transitive verb,to entrust (to someone) | to leave (in someone's hands),scene_image,72,person_action_scene,action_state,person entrusting,任す,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00567,N1,似通う,にかよう,NO PICTURE,to resemble closely,,,,Godan verb with 'u' ending | intransitive verb,to resemble closely,scene_image,72,person_action_scene,action_state,person resembling closely,似通う,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00626,N1,侵す,おかす,NO PICTURE,to invade;to raid;to trespass;to violate;to intrude on,,,,Godan verb with 'su' ending | transitive verb,"to invade | to raid | to violate (airspace, etc.) | to intrude | to trespass",scene_image,72,person_action_scene,action_state,person invading,侵す,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00630,N1,促す,うながす,NO PICTURE,to urge;to press;to suggest;to demand;to stimulate;to quicken;to incite;to invite (attention to),,,,Godan verb with 'su' ending | transitive verb,to urge | to encourage | to press | to prompt | to draw (attention to),scene_image,72,person_action_scene,action_state,person urging,促す,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00633,N1,保つ,たもつ,NO PICTURE,to keep;to preserve;to hold;to retain;to maintain;to support;to sustain;to last;to endure;to keep we,,,,Godan verb with 'tsu' ending | transitive verb | intransitive verb,to keep | to preserve | to hold | to retain | to maintain,scene_image,72,person_action_scene,action_state,person keeping,保つ,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00660,N1,値する,あたいする,NO PICTURE,to be worth;to deserve;to merit,,,,suru verb - included | intransitive verb,to be worth | to be worthy of | to deserve | to merit,scene_image,72,person_action_scene,action_state,person being worth,値する,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00665,N1,偏る,かたよる,NO PICTURE,to be one-sided;to incline;to be partial;to be prejudiced;to lean;to be biased,,,,Godan verb with 'ru' ending | intransitive verb,to lean (to one side) | to incline | to be unbalanced (e.g. diet) | to be unduly weighted towards | to be concentrated on,scene_image,72,person_action_scene,action_state,person being one-sided,偏る,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00678,N1,備え付ける,そなえつける,NO PICTURE,to provide;to furnish;to equip;to install,,,,Ichidan verb | transitive verb,to provide | to furnish | to equip | to install,scene_image,72,person_action_scene,action_state,person providing,備え付ける,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00679,N1,備わる,そなわる,NO PICTURE,to be furnished with;to be endowed with;to possess;to be among;to be one of;to be possessed of,,,,Godan verb with 'ru' ending | intransitive verb,to be furnished with | to be provided with | to be equipped with | to be possessed of | to be endowed with,scene_image,72,person_action_scene,action_state,person being furnished with,備わる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00680,N1,催す,もよおす,NO PICTURE,to hold (a meeting);to give (a dinner);to feel;to show signs of;to develop symptoms of;to feel (sick,,,,Godan verb with 'su' ending | transitive verb,"to hold (an event) | to give (a dinner, party, etc.) | to feel (sensation, emotion, call of nature, etc.) | to show signs of",scene_image,72,person_action_scene,action_state,person holding,催す,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00681,N1,傲る,おごる,NO PICTURE,to be proud,,,,Godan verb with 'ru' ending | intransitive verb,to be proud | to be haughty | to be arrogant | to be conceited | to brag,scene_image,72,person_action_scene,action_state,person being proud,傲る,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00683,N1,傷付く,きずつく,NO PICTURE,to be hurt;to be wounded;to get injured,,,,Godan verb with 'ku' ending | intransitive verb,to be wounded | to get injured | to get hurt feelings | to get damaged | to get chipped,scene_image,72,person_action_scene,action_state,person being hurt,傷付く,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00685,N1,傾く,かたぶく,NO PICTURE,to incline toward;to slant;to lurch;to heel over;to be disposed to;to trend toward;to be prone to;to,,,,Godan verb with 'ku' ending | intransitive verb,to incline toward | to slant | to lurch | to heel over | to be disposed to,scene_image,72,person_action_scene,action_state,person inclining toward,傾く,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00716,N1,免れる,まぬかれる,NO PICTURE,to escape from;to be rescued from;to avoid;to evade;to avert;to elude;to be exempted;to be relieved,,,,Ichidan verb | transitive verb,"to escape (disaster, death, etc.) | to be saved from | to be rescued from | to avoid (e.g. punishment) | to evade (e.g. responsibility)",scene_image,72,person_action_scene,action_state,person escaping from,免れる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00760,N1,其れ程,それほど,NO PICTURE,to that degree;extent,,,,adverb (fukushi),to that degree | to that extent | that much,scene_image,72,person_action_scene,action_state,person thatting degree,其れ程,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00782,N1,再発,さいはつ,NO PICTURE,return;relapse;reoccurrence,,,,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,return | relapse | recurrence,scene_image,72,person_action_scene,action_state,person returning,再発,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00787,N1,冴える,さえる,NO PICTURE,to be clear;to be serene;to be cold;to be skillful,,,,Ichidan verb | intransitive verb,"to be clear (of a sight, sound, colour, etc.) | to be bright | to be vivid | to be crisp | to be clear-headed",scene_image,72,person_action_scene,action_state,person being clear,冴える,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00792,N1,凌ぐ,しのぐ,NO PICTURE,to outdo;to surpass;to endure;to keep out (rain);to stave off;to tide over;to pull through;to defy;t,,,,Godan verb with 'gu' ending | transitive verb,to endure | to keep out (e.g. rain) | to stave off (e.g. starvation) | to pull through | to get over,scene_image,72,person_action_scene,action_state,person outdoing,凌ぐ,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00806,N1,出切る,できる,NO PICTURE,to be out of;to have no more at hand,,,,Godan verb with 'ru' ending | transitive verb,to be out of | to have no more at hand,scene_image,72,person_action_scene,action_state,person being out of,出切る,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00854,N1,制する,せいする,NO PICTURE,to control;to command;to get the better of,,,,suru verb - special class | transitive verb,"to hold back (e.g. emotions) | to rein in (e.g. a horse, unruly people) | to bridle | to get the better of | to control",scene_image,72,person_action_scene,action_state,person controlling,制する,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00873,N1,剥げる,はげる,NO PICTURE,to come off;to be worn off;to fade;to discolor,,,,Ichidan verb | intransitive verb,to peel off | to come off | to flake off | to be worn off | to fade,scene_image,72,person_action_scene,action_state,person coming off,剥げる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00894,N1,努めて,つとめて,NO PICTURE,make an effort!;work hard!,,,,adverb (fukushi),as much as possible | as far as possible | to the best of one's ability | diligently,scene_image,72,person_action_scene,action_state,person making an effort!,努めて,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00895,N1,励ます,はげます,NO PICTURE,to encourage;to cheer;to raise (the voice),,,,Godan verb with 'su' ending | transitive verb,to encourage | to cheer on | to cheer (someone) up | to raise (one's voice),scene_image,72,person_action_scene,action_state,person encouraging,励ます,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00896,N1,励む,はげむ,NO PICTURE,to be zealous;to brace oneself;to endeavour;to strive;to make an effort,,,,Godan verb with 'mu' ending | intransitive verb,to work hard | to try hard | to strive | to endeavour | to endeavor,scene_image,72,person_action_scene,action_state,person being zealous,励む,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
n1_00897,N1,労る,いたわる,NO PICTURE,to pity;to sympathize with;to console;to care for;to be kind to,,,,Godan verb with 'ru' ending | transitive verb,to pity | to sympathize with | to sympathise with | to treat with sympathy | to console,scene_image,72,person_action_scene,action_state,person pitying,労る,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary,,
