id,word,reading,meaning,meaning_zh,meaning_zh_needs_review,meaning_zh_note,image_type,visual_domain,image_query_en,review,meaning_zh_source,meaning_zh_review
n2_04018,匙,さじ,spoon,勺子,FALSE,from existing zh_meanings.py,single_object_or_place,object_tool,spoon,,,
n2_04057,古典,こてん,"old book,classics,classic",古典,FALSE,,single_object_or_place,object_tool,old book,,,
n2_04109,回数券,かいすうけん,book of tickets,多次票、回数券,TRUE,manual correction: book of tickets,single_object_or_place,object_tool,book of tickets,,,
n2_04116,図鑑,ずかん,picture book,图鉴,FALSE,,single_object_or_place,object_tool,picture book,,,
n2_04150,塵紙,ちりがみ,"tissue paper,toilet paper",纸巾; 卫生纸,FALSE,,single_object_or_place,object_tool,tissue paper,,,
n2_04163,夕刊,ゆうかん,evening paper,晚报,FALSE,,single_object_or_place,object_tool,evening paper,,,
n2_04403,投書,とうしょ,"letter to the editor,letter from a reader,contribution",读者来信,TRUE,可能需区分投稿/来信/贡献等不同语境,single_object_or_place,object_tool,letter to the editor,,,
n2_04517,書籍,しょせき,"book,publication",书,FALSE,from existing zh_meanings.py,single_object_or_place,object_tool,book,,,
n2_04702,為替,かわせ,"money order,exchange",汇票;外汇,TRUE,需根据具体语境选择汇票/汇兑/外汇等,single_object_or_place,object_tool,money order,,,
n2_04865,窓口,まどぐち,ticket window,窗口,FALSE,,single_object_or_place,object_tool,ticket window,,,
n2_04887,紙幣,しへい,"paper money,notes,bills",纸币,FALSE,,single_object_or_place,object_tool,paper money,,,
n2_05219,障子,しょうじ,paper sliding door,纸拉门、障子,TRUE,manual correction: Japanese paper sliding door,single_object_or_place,object_tool,paper sliding door,,,
n2_05228,電柱,でんちゅう,"telephone pole,telegraph pole,lightpole",电线杆,FALSE,,single_object_or_place,object_tool,telephone pole,,,
n2_05256,食塩,しょくえん,table salt,食盐,FALSE,,single_object_or_place,object_tool,table salt,,,
n2_03494,おくさん,おくさん,"(hon) wife,your wife,madam",夫人,FALSE,,single_object_or_place,person_family,wife,,,
n2_03650,ウーマン,ウーマン,woman,女士,FALSE,,single_object_or_place,person_family,woman,,,
n2_03677,サラリーマン,サラリーマン / サラーリーマン / サラリマン,"salary man,company employee",上班族,FALSE,,single_object_or_place,person_family,salary man,,,
n2_04135,坊や,ぼうや,boy,男孩,FALSE,from existing zh_meanings.py,single_object_or_place,person_family,boy,,,
n2_04182,夫妻,ふさい,"man and wife,married couple",夫妻,FALSE,,single_object_or_place,person_family,man and wife,,,
n2_04184,女の人,おんなのひと,woman,女士,FALSE,,single_object_or_place,person_family,woman,,,
n2_04185,女房,にょうぼう,wife,妻子,FALSE,,single_object_or_place,person_family,wife,,,
n2_04248,小学生,しょうがくせい,grade school student,小学生,FALSE,,single_object_or_place,person_family,grade school student,,,
n2_04530,末っ子,すえっこ,youngest child,最小的孩子,FALSE,,single_object_or_place,person_family,youngest child,,,
n2_04723,父母,ふぼ,"father and mother,parents",父母,FALSE,,single_object_or_place,person_family,father and mother,,,
n2_04826,知人,ちじん,"friend,acquaintance",熟人、认识的人,TRUE,manual correction: acquaintance,single_object_or_place,person_family,friend,,,
n2_03681,ショップ,ショップ,a shop,商店,FALSE,,single_object_or_place,place_building,shop,,,
n2_03687,スクール,スクール,school,学校,FALSE,from existing zh_meanings.py,single_object_or_place,place_building,school,,,
n2_03724,ビルディング,ビルディング / ビルヂング,building,建筑物,FALSE,from existing zh_meanings.py,single_object_or_place,place_building,building,,,
n2_03978,別荘,べっそう,"holiday house,villa",别墅,FALSE,,single_object_or_place,place_building,holiday house,,,
n2_04074,名所,めいしょ,famous place,名胜,FALSE,,single_object_or_place,place_building,famous place,,,
n2_04091,商店,しょうてん,"shop,business firm",商店,FALSE,from existing zh_meanings.py,single_object_or_place,place_building,shop,,,
n2_04160,売店,ばいてん,"shop,stand",小卖部、售货亭,TRUE,manual correction: shop / stand,single_object_or_place,place_building,shop,,,
n2_04174,大学院,だいがくいん,graduate school,研究生院,FALSE,,single_object_or_place,place_building,graduate school,,,
n2_04179,大通り,おおどおり,main street,主街,FALSE,,single_object_or_place,place_building,main street,,,
n2_04210,官庁,かんちょう,"government office,authorities",政府机关,FALSE,,single_object_or_place,place_building,government office,,,
n2_04230,家屋,かおく,"house,building",家、房子、建筑物,FALSE,from existing zh_meanings.py,single_object_or_place,place_building,house,,,
n2_04267,工員,こういん,factory worker,工厂工人,FALSE,,single_object_or_place,place_building,factory worker,,,
n2_04292,庖丁,ほうちょう,"kitchen knife,carving knife",厨刀,TRUE,古典用语，常见于'庖丁解牛'典故,single_object_or_place,place_building,kitchen knife,,,
n2_04293,店屋,みせや,"store,shop",商店,FALSE,from existing zh_meanings.py,single_object_or_place,place_building,store,,,
n2_04295,座敷,ざしき,tatami room,日式房间,TRUE,特指榻榻米房间，含正式场合使用,single_object_or_place,place_building,tatami room,,,
n2_04325,役所,やくしょ,"government office,public office",政府办公室,FALSE,,single_object_or_place,place_building,government office,,,
n2_04330,待合室,まちあいしつ,waiting room,等候室,FALSE,,single_object_or_place,place_building,waiting room,,,
n2_04546,校舎,こうしゃ,school building,校舍,FALSE,,single_object_or_place,place_building,school building,,,
n2_04612,洋品店,ようひんてん,shop which handles Western-style apparel and accessories,西式服饰店,TRUE,特指销售西式服装的店铺,single_object_or_place,place_building,shop which handles Western-style apparel and accessories,,,
n2_04633,消防署,しょうぼうしょ,fire station,消防站,FALSE,,single_object_or_place,place_building,fire station,,,
n2_04732,物置,ものおき,storage room,储物间,TRUE,特指存放杂物的房间，非正式仓库,single_object_or_place,place_building,storage room,,,
n2_04810,県庁,けんちょう,prefectural office,县厅,FALSE,,single_object_or_place,place_building,prefectural office,,,
n2_04855,税関,ぜいかん,customs house,海关,FALSE,,single_object_or_place,place_building,customs house,,,
n2_05005,街角,まちかど,street corner,街角,FALSE,,single_object_or_place,place_building,street corner,,,
n2_05076,貸家,かしや,house for rent,出租屋,FALSE,,single_object_or_place,place_building,house for rent,,,
n2_05077,貸間,かしま,room to let,出租间,FALSE,,single_object_or_place,place_building,room to let,,,
n2_05143,遊園地,ゆうえんち,amusement park,游乐园,FALSE,,single_object_or_place,place_building,amusement park,,,
n2_04482,新幹線,しんかんせん,"bullet train (very high speed),shinkansen",新干线,FALSE,,single_object_or_place,transport,bullet train,,,
n2_03617,ぺん,,pen,笔,FALSE,from existing zh_meanings.py,single_object_or_place,object_tool,pen,,,
n2_03476,あふれる,あふれる,"to flood,to overflow,to brim over",溢出,FALSE,,person_action_scene,action_state,person flooding,,,
n2_03477,あぶる,あぶる,to scorch,烘烤,TRUE,可能需区分'烘烤'与'灼烧'的细微差别,person_action_scene,action_state,person scorching,,,
n2_03502,おどかす,おどかす,"to threaten,to coerce",威胁,FALSE,,person_action_scene,action_state,person threatenning,,,
n2_03517,かじる,かじる,"to chew,to bite (at),to gnaw,to nibble",咀嚼,FALSE,,person_action_scene,action_state,person chewwing,,,
n2_03519,からかう,からかう,"to ridicule,to tease,to banter with,to make fun of",捉弄、取笑,TRUE,manual correction: tease / ridicule,person_action_scene,action_state,person ridiculing,,,
n2_03527,くっつく,くっつく,"to adhere to,to keep close to",粘附,FALSE,,person_action_scene,action_state,person adhering to,,,
n2_03528,くっつける,くっつける,to attach,粘贴,FALSE,,person_action_scene,action_state,person attaching,,,
n2_03530,くるむ,くるむ,"to be engulfed in,to be enveloped by,to wrap up",包裹,FALSE,,person_action_scene,action_state,person being engulfed in,,,
n2_03534,こしらえる,こしらえる,"to make,to manufacture",制作,FALSE,from existing zh_meanings.py,person_action_scene,action_state,person making,,,
n2_03538,こぼす,こぼす,to spill,溢出,TRUE,需确认'溢出'是否覆盖'洒落'等其他含义,person_action_scene,action_state,person spilling,,,
n2_03539,こぼれる,こぼれる,"to overflow,to spill",溢出,FALSE,,person_action_scene,action_state,person overflowwing,,,
n2_03540,こらえる,こらえる / こたえる,"to bear,to stand,to endure,to put up with",忍耐、忍住,TRUE,manual correction: endure / put up with,person_action_scene,action_state,person bearing,,,
n2_03553,しびれる,しびれる / シビれる / シビレる,"to become numb,to go to sleep (i.e., a limb)",麻木；入睡,TRUE,JMdict glosses include 'to get an electric shock' and 'to be excited' which may be less common for JLPT learners,person_action_scene,action_state,person becoming numb,,,
n2_03556,しゃがむ,しゃがむ,to squat,蹲下,FALSE,,person_action_scene,action_state,person squating,,,
n2_03558,しゃぶる,しゃぶる,"to suck,to chew",吸；舔,FALSE,,person_action_scene,action_state,person sucking,,,
n2_03565,すれちがう,すれちがう,"to pass by one another,to disagree",擦肩而过,FALSE,,person_action_scene,action_state,person passing by one another,,,
n2_03567,ずらす,ずらす,"to put off,to delay",推迟,FALSE,,person_action_scene,action_state,person putting off,,,
n2_03580,だます,だます,"to trick,to cheat,to deceive",欺骗,FALSE,,person_action_scene,action_state,person tricking,,,
n2_03582,ちぎる,ちぎる,"to cut up fine,to pick (fruit)",切碎；采摘,TRUE,JMdict glosses include 'pledge' and 'sexual intercourse' which may conflict with English meaning,person_action_scene,action_state,person cutting up fine,,,
n2_03584,つまずく,つまずく / つまづく,"to stumble,to trip",绊倒,FALSE,,person_action_scene,action_state,person stumbling,,,
n2_03592,どなる,どなる,"to shout,to yell",大喊,FALSE,,person_action_scene,action_state,person shouting,,,
n2_03593,なぐる,なぐる,"to strike,to hit",殴打、打,TRUE,manual correction: strike / hit,person_action_scene,action_state,person striking,,,
n2_03602,はめる,はめる / ハメる,"(col) to get in,to insert,to put on,to make love",插入;戴上,FALSE,,person_action_scene,action_state,person getting in,,,
n2_03611,ぶつかる,ぶつかる / ぶっつかる,"to strike,to collide with",碰撞,FALSE,,person_action_scene,action_state,person striking,,,
n2_03612,ぶつける,ぶつける,"to knock,to run into,to nail on,to strike hard,to hit and attack",撞击,FALSE,,person_action_scene,action_state,person knocking,,,
n2_03614,ぶらさげる,ぶらさげる,"to hang,to suspend,to dangle,to swing",悬挂,FALSE,,person_action_scene,action_state,person hanging,,,
n2_03618,ほどく,ほどく,to unfasten,解开,FALSE,from existing zh_meanings.py,person_action_scene,action_state,person unfastenning,,,
n2_03622,またぐ,またぐ,to straddle,跨过,FALSE,,person_action_scene,action_state,person straddling,,,
n2_03633,もたれる,もたれる,"to lean against,to lean on,to recline on,to lie heavy (on the stomach)",倚靠,FALSE,,person_action_scene,action_state,person leaning against,,,
n2_03637,やっつける,やっつける,"to attack (an enemy),to beat,to do away with,to finish off",击败,FALSE,,person_action_scene,action_state,person attacking,,,
n2_03640,ゆでる,ゆでる / うでる,to boil,煮,TRUE,第二义（用蒸汽治疗）较罕见,person_action_scene,action_state,person boiling,,,
n2_03641,よこす,よこす,"(1) to send,to forward,(2) to hand over (e.g. money)",传送,FALSE,,person_action_scene,action_state,person sending,,,
n2_03785,上る,のぼる,"to ascend,to go up,to climb",爬、登,FALSE,from existing zh_meanings.py,person_action_scene,action_state,person ascending,,,
n2_03789,下る,くだる,"to get down,to descend",下降、下去,FALSE,from existing zh_meanings.py,person_action_scene,action_state,person getting down,,,
n2_03821,乾かす,かわかす,"to dry (clothes, etc.),to desiccate",晾干,FALSE,,person_action_scene,action_state,person drying (clothes,,,
n2_03845,代える,かえる,"to exchange,to interchange,to substitute,to replace",替换、交换,TRUE,manual correction: exchange / substitute,person_action_scene,action_state,person exchanging,,,
n2_03883,例える,たとえる,"to compare,to liken,to speak figuratively,to illustrate,to use a simile",比喻、比作,TRUE,manual correction: compare / liken,person_action_scene,action_state,person comparing,,,
n2_03897,倣う,ならう,"to imitate,to follow,to emulate",模仿,FALSE,,person_action_scene,action_state,person imitating,,,
n2_03947,冷ます,さます,"to cool,to dampen,to let cool",降温,TRUE,第二义（使冷却）较常见,person_action_scene,action_state,person cooling,,,
n2_03948,冷める,さめる,"to become cool,to wear off,to abate,to subside",变凉,FALSE,,person_action_scene,action_state,person becoming cool,,,
n2_03949,冷やす,ひやす,"to cool,to refrigerate",冷藏,FALSE,,person_action_scene,action_state,person cooling,,,
n2_03951,凍える,こごえる,"to freeze,to be chilled,to be frozen",冻住,FALSE,,person_action_scene,action_state,person freezing,,,
n2_03953,凹む,へこむ,"to be dented,to be indented,to yield to,to give,to sink,to collapse,to cave in,to be snubbed",凹陷、泄气,TRUE,manual correction: be dented / sink / be dejected,person_action_scene,action_state,person being dented,,,
n2_03959,出掛ける,でかける,"to depart,to set out,to start,to be going out",出发,FALSE,from existing zh_meanings.py,person_action_scene,action_state,person departing,,,
n2_03963,出迎える,でむかえる,"to meet,to greet",迎接,TRUE,manual correction: meet / greet on arrival,person_action_scene,action_state,person meeting,,,
n2_03964,分かれる,わかれる,"to branch off,to diverge from,to fork,to split,to dispense,to scatter,to divide into",分支,FALSE,,person_action_scene,action_state,person branching off,,,
n2_03981,刷る,する,to print,印刷,FALSE,,person_action_scene,action_state,person printing,,,
n2_03983,刺す,さす,"to pierce,to stab,to prick,to thrust",刺穿,FALSE,,person_action_scene,action_state,person piercing,,,
n2_03985,刻む,きざむ,"to mince,to carve,to engrave",切碎,FALSE,,person_action_scene,action_state,person mincing,,,
n2_03986,剃る,そる,to shave,剃,FALSE,,person_action_scene,action_state,person shaving,,,
n2_03988,削る,けずる,"to cut down little by little,to take a percentage",削,FALSE,,person_action_scene,action_state,person cutting down little by little,,,
n2_03991,剥く,むく,"to peel,to skin,to pare,to hull",剥,FALSE,,person_action_scene,action_state,person peeling,,,
n2_03992,剥す,はがす,"(v5s) to tear off,to peel off,to rip off",剥离,FALSE,,person_action_scene,action_state,person tearing off,,,
n2_04020,区切る,くぎる,"to punctuate,to cut off,to mark off,to stop,to put an end to",分隔、划分,TRUE,manual correction: punctuate / mark off,person_action_scene,action_state,person punctuating,,,
n2_04033,卸す,おろす,"to sell wholesale,grated (vegetables)",批发销售,FALSE,,person_action_scene,action_state,person selling wholesale,,,
n2_04048,取り入れる,とりいれる,"to harvest,to take in,to adopt",采纳；引入,FALSE,,person_action_scene,action_state,person harvesting,,,
n2_04049,取り出す,とりだす,"to take out,to produce,to pick out",取出、拿出,TRUE,manual correction: take out / pick out,person_action_scene,action_state,person taking out,,,
n2_04051,受け持つ,うけもつ,to take (be in) charge of,负责,FALSE,,person_action_scene,action_state,person taking charge of,,,
n2_04068,吊す,つるす,to hang,悬挂,FALSE,,person_action_scene,action_state,person hanging,,,
n2_04069,吊る,つる,to hang,悬挂,FALSE,,person_action_scene,action_state,person hanging,,,
n2_04079,含める,ふくめる,"to include,to instruct,to make one understand",包含,FALSE,,person_action_scene,action_state,person including,,,
n2_04083,味わう,あじわう,"to taste,to savor,to relish",品尝,FALSE,,person_action_scene,action_state,person tasting,,,
n2_04084,呼び出す,よびだす,"to summon,to call (e.g. phone)",召唤,FALSE,,person_action_scene,action_state,person summonning,,,
n2_04085,呼び掛ける,よびかける,"to call out to,to accost,to address (crowd),to appeal",呼喊,TRUE,可能需区分'呼喊'与'呼吁'的细微差别,person_action_scene,action_state,person calling out to,,,
n2_04089,咥える,くわえる,to hold in one's mouth | to bring with | to take along,含住;携带,TRUE,需确认'含住'是否覆盖'携带'的引申义,person_action_scene,action_state,person holding in one's mouth,,,
n2_04096,嗅ぐ,かぐ,"to sniff,to smell",嗅探,FALSE,,person_action_scene,action_state,person sniffing,,,
n2_04101,囁く,ささやく,"to whisper,to murmur",低语;谣言,TRUE,需注意'谣言'作为动词的用法是否符合N2学习者需求,person_action_scene,action_state,person whisperring,,,
n2_04118,固まる,かたまる,"to harden,to solidify,to become firm,to become certain",凝固;凝结;确定,TRUE,需确认'确定'是否为常见学习者用法,person_action_scene,action_state,person hardenning,,,
n2_04138,埋める,うめる,"to bury,to fill up,to fill (a seat, a vacant position)",埋葬;填满,TRUE,需区分'填满'与'填补'的细微差别,person_action_scene,action_state,person burying,,,
n2_04148,塞ぐ,ふさぐ,"to stop up,to close up,to block (up)",堵塞;封闭,FALSE,,person_action_scene,action_state,person stopping up,,,
n2_04233,寄せる,よせる,"to collect,to gather,to add,to put aside",聚集、靠近,TRUE,manual correction: gather / bring near,person_action_scene,action_state,person collecting,,,
n2_04245,射す,さす,"to shine,to strike",照射,TRUE,需确认'射出'是否为常见学习者用法,person_action_scene,action_state,person shining,,,
n2_04262,崩す,くずす,"to destroy,to pull down,to make change (money)",摧毁,TRUE,可能包含兑换货币的含义,person_action_scene,action_state,person destroying,,,
n2_04264,巡る,めぐる,to go around,转、绕行,FALSE,from existing zh_meanings.py,person_action_scene,action_state,person going around,,,
n2_04266,工事,こうじ,construction work,施工,FALSE,,person_action_scene,action_state,person constructioning work,,,
n2_04273,帰す,かえす,to send back,送回,TRUE,可能包含送回家的含义,person_action_scene,action_state,person sending back,,,
n2_04274,干す,ほす,"to air,to dry,to desiccate,to drain (off),to drink up",晾干,TRUE,可能包含干燥/排水等其他含义,person_action_scene,action_state,person airing,,,
n2_04302,引っ繰り返す,ひっくりかえす,"to turn over,to overturn,to knock over,to upset,to turn inside out",翻转,TRUE,可能包含倒置/翻转等其他动作,person_action_scene,action_state,person turning over,,,
n2_04305,引出す,ひきだす,"to pull out,to take out,to draw out,to withdraw",拉出、取出,TRUE,manual correction: pull out / withdraw,person_action_scene,action_state,person pulling out,,,
n2_04308,引受る,ひきうける,"to undertake,to take up,to take over",接手,TRUE,可能包含承担/接受等其他含义,person_action_scene,action_state,person undertaking,,,
n2_04311,引返す,ひきかえす,"to repeat,to send back,to bring back",返回,TRUE,可能包含重复/折返等其他含义,person_action_scene,action_state,person repeating,,,
n2_04322,彫る,ほる,"to carve,to engrave,to sculpture,to chisel",雕刻,TRUE,可能包含刻印/纹身等其他含义,person_action_scene,action_state,person carving,,,
n2_04329,待ち合わせる,まちあわせる,"to rendezvous,to meet at a prearranged place and time",约定见面,FALSE,,person_action_scene,action_state,person rendezvousing,,,
n2_04345,応ずる,おうずる,"to answer,to respond,to meet,to satisfy,to accept",回应、接受,TRUE,manual correction: respond / accept,person_action_scene,action_state,person answerring,,,
n2_04352,思い付く,おもいつく,"to think of,to hit upon",想到；突然想起,FALSE,,person_action_scene,action_state,person thinking of,,,
n2_04402,承る,うけたまわる,"(hum) to hear,to be told,to know",听取、拜听,TRUE,manual correction: humble hear / be told,person_action_scene,action_state,person hearing,,,
n2_04407,担ぐ,かつぐ,"to shoulder,to carry on shoulder",扛、担,TRUE,manual correction: shoulder / carry on shoulder,person_action_scene,action_state,person shoulderring,,,
n2_04408,拝む,おがむ,"to worship,to beg,to make a supplication",祈祷；乞求,FALSE,,person_action_scene,action_state,person worshipping,,,
n2_04413,拭く,ふく,"to wipe,to dry",擦拭,FALSE,,person_action_scene,action_state,person wiping,,,
n2_04416,挙げる,あげる,"to raise,to fly",列举,FALSE,,person_action_scene,action_state,person raising,,,
n2_04418,挟む,はさむ,"to interpose,to hold between,to insert",夹住,FALSE,,person_action_scene,action_state,person interposing,,,
n2_04421,挿す,さす,"to insert,to put in,to graft,to wear in belt",插入、插上,TRUE,manual correction: insert / put in,person_action_scene,action_state,person inserting,,,
n2_04423,捕る,とる,"to take,to catch (fish),to capture",捕捉,FALSE,,person_action_scene,action_state,person taking,,,
n2_04426,捻る,ひねる,"to turn (a switch) on or off,to twist,to puzzle over",拧动开关；扭；困惑,TRUE,可能包含较少常见含义,person_action_scene,action_state,person turning on or off,,,
n2_04431,採る,とる,"(1) to adopt (measure, proposal),(2) to pick (fruit)",采纳；采摘,FALSE,,person_action_scene,action_state,person adopting (measure,,,
n2_04434,接する,せっする,"to come in contact with,to connect,to attend,to receive",接触、接待,TRUE,manual correction: come in contact / receive,person_action_scene,action_state,person coming in contact with,,,
n2_04440,揃える,そろえる,"to put things in order,to arrange,to make uniform,to get something ready",整理；准备,FALSE,,person_action_scene,action_state,person putting things in order,,,
n2_04449,擦る,こする,"to rub,to chafe,to file,to frost (glass),to strike (match)",擦拭；刮,TRUE,可能包含较少常见含义,person_action_scene,action_state,person rubbing,,,
n2_04455,攻める,せめる,"to attack,to assault",攻击；袭击,FALSE,,person_action_scene,action_state,person attacking,,,
n2_04457,放れる,はなれる,"to leave,to get free,to cut oneself off",挣脱；释放,FALSE,,person_action_scene,action_state,person leaving,,,
n2_04464,散る,ちる,"to fall,to scatter (e.g. blossoms)",散落；消散,FALSE,,person_action_scene,action_state,person falling,,,
n2_04465,敬う,うやまう,"to show respect,to honour",尊敬；崇拜,FALSE,,person_action_scene,action_state,person showwing respect,,,
n2_04503,映る,うつる,"to be reflected,to harmonize with,to come out (photo)",反射；显示,TRUE,Multiple senses may require clarification for learners,person_action_scene,action_state,person being reflected,,,
n2_04511,曲げる,まげる,"to bend,to crook,to lean",弯曲,FALSE,,person_action_scene,action_state,person bending,,,
n2_04513,更ける,ふける,"to get late,to advance,to wear on",变晚,FALSE,,person_action_scene,action_state,person getting late,,,
n2_04551,棄てる,すてる,to throw away | to cast away | to dump,丢弃,FALSE,,person_action_scene,action_state,person throwwing away,,,
n2_04589,気を付ける,きをつける,"to be careful,to pay attention,to take care",注意,FALSE,,person_action_scene,action_state,person being careful,,,
n2_04604,汚す,よごす,"(1) to disgrace,to dishonour,(2) to pollute,to contaminate,to soil,to make dirty,to stain",弄脏,TRUE,Discrepancy between disgrace and pollution senses,person_action_scene,action_state,person disgracing,,,
n2_04607,治す,なおす,"to cure,to heal,to fix,to correct,to repair",治愈,FALSE,,person_action_scene,action_state,person curing,,,
n2_04609,泊める,とめる,"to give shelter to,to lodge",住宿,FALSE,,person_action_scene,action_state,person giving shelter to,,,
n2_04635,涼む,すずむ,"to cool oneself,to cool off,to enjoy evening cool",降温；消暑；享受凉爽,FALSE,,person_action_scene,action_state,person cooling oneself,,,
n2_04641,混ぜる,まぜる,"to mix,to stir",混合；搅拌,FALSE,,person_action_scene,action_state,person mixxing,,,
n2_04654,湧く,わく,"to boil,to grow hot,to get excited,to gush forth",涌出；沸腾；激动；涌现,FALSE,,person_action_scene,action_state,person boiling,,,
n2_04677,潜る,もぐる,"(1) to drive,to pass through,(2) to evade,to hide,(3) to dive (into or under water),to go undergroun",潜入；躲避；潜水,FALSE,,person_action_scene,action_state,person driving,,,
n2_04679,潰れる,つぶれる,"to be smashed,to go bankrupt",崩溃；破产,FALSE,,person_action_scene,action_state,person being smashed,,,
n2_04693,炊く,たく,"to boil,to cook",煮；烹饪,FALSE,,person_action_scene,action_state,person boiling,,,
n2_04698,点く,つく,"to catch fire,(electricity) comes on",点亮；点燃；通电,FALSE,,person_action_scene,action_state,person catching fire,,,
n2_04699,点ける,つける,"to turn on,to switch on,to light up",打开电器,FALSE,from existing zh_meanings.py,person_action_scene,action_state,person turning on,,,
n2_04703,焚く,たく,"to burn,to kindle,to build a fire",生火、焚烧,TRUE,manual correction: kindle / burn,person_action_scene,action_state,person burning,,,
n2_04708,焦がす,こがす,"to burn,to scorch,to singe,to char",烤焦、烧焦,TRUE,manual correction: scorch / char,person_action_scene,action_state,person burning,,,
n2_04715,照らす,てらす,"to shine on,to illuminate",照亮；照射,FALSE,,person_action_scene,action_state,person shining on,,,
n2_04716,照る,てる,to shine,发光,FALSE,,person_action_scene,action_state,person shining,,,
n2_04717,煮える,にえる,"to boil,to cook,to be cooked",煮熟,FALSE,,person_action_scene,action_state,person boiling,,,
n2_04718,煮る,にる,"to boil,to cook",煮,FALSE,,person_action_scene,action_state,person boiling,,,
n2_04724,片付く,かたづく,"to put in order,to dispose of,to solve",整理,FALSE,,person_action_scene,action_state,person putting in order,,,
n2_04753,生える,はえる,"(1) to grow,to spring up,(2) to cut (teeth)",生长,FALSE,,person_action_scene,action_state,person growwing,,,
n2_04795,目立つ,めだつ,"to be conspicuous,to stand out",显眼,FALSE,,person_action_scene,action_state,person being conspicuous,,,
n2_04816,真似る,まねる,"to mimic,to imitate",模仿,FALSE,,person_action_scene,action_state,person mimiccing,,,
n2_04819,着ける,つける,"(1) to attach,to join,to add,to append",附加,FALSE,,person_action_scene,action_state,person attaching,,,
n2_04820,着せる,きせる,to put on clothes,给...穿,FALSE,,person_action_scene,action_state,person putting on clothes,,,
