id,word,reading,meaning,meaningZh,current_review,folder_review,changed
n3_05920,売れる,うれる,to be sold,卖出、畅销,NO PICTURE,NO PICTURE,no
n3_05925,外す,はずす,"to unfasten,to remove",取下、拆除,NO PICTURE,NO PICTURE,no
n3_05961,奪う,うばう,to snatch away,夺走、抢走,NO PICTURE,NO PICTURE,no
n3_05979,学ぶ,まなぶ,"to study (in depth),to learn,to take lessons in",学习,NO PICTURE,NO PICTURE,no
n3_06031,就く,つく,"to settle in (place),to take (seat, position),to study (under teacher)",就座、就任、跟随学习,NO PICTURE,NO PICTURE,no
n3_06038,届く,とどく,to reach,送达、到达,NO PICTURE,NO PICTURE,no
n3_06040,履く,はく,"to wear,to put on (lower body)",穿下装、穿鞋,NO,OK,yes
n3_06089,引っ張る,ひっぱる,"(1) to pull,to draw,to stretch,to drag,(2) to pull the ball (baseball)",拉、拽、拖,NO PICTURE,NO PICTURE,no
n3_06098,当てる,あてる,"to hit,to apply a patch",击中、贴上,NO PICTURE,NO PICTURE,no
n3_06167,成る,なる,to become,变成,NO PICTURE,NO PICTURE,no
n3_06176,戦う,たたかう,"to fight,to battle,to combat",战斗、打仗,NO,OK,yes
n3_06177,戻す,もどす,"to restore,to put back,to return",恢复、放回、归还,NO PICTURE,NO PICTURE,no
n3_06186,扱う,あつかう,"to handle,to deal with,to treat",处理、对待,NO PICTURE,NO PICTURE,no
n3_06193,抜く,ぬく,"to extract,to omit,to surpass,to draw out,to unplug",拔出、抽出、省略,NO PICTURE,NO PICTURE,no
n3_06194,抜ける,ぬける,"to come out,to fall out,to be omitted",脱落、漏掉,NO PICTURE,NO PICTURE,no
n3_06195,抱える,かかえる,to hold or carry under or in the arms,抱着、夹着,NO PICTURE,NO PICTURE,no
n3_06196,抱く,いだく,"(sl) to embrace,to hug,to harbour,to entertain",抱、拥抱、怀有,OK,OK,no
n3_06200,招く,まねく,to invite,邀请,NO PICTURE,NO PICTURE,no
n3_06204,指す,さす,"to point,to put up umbrella,to play",指、撑伞、下棋,NO PICTURE,NO PICTURE,no
n3_06207,振る,ふる,"(1) to wave,to shake,to swing,(2) to sprinkle,(3) to cast (actor),to allocate (work)",挥动、摇动、分配,NO PICTURE,NO PICTURE,no
n3_06208,捕まる,つかまる,"to be caught,to be arrested",被抓住、被逮捕,NO PICTURE,NO PICTURE,no
n3_06210,掛かる,かかる,"to take (e.g. time, money, etc),to hang",钱,NO PICTURE,NO PICTURE,no
n3_06213,掴む,つかむ,"to seize,to catch,to grasp",抓住、捕捉,NO PICTURE,NO PICTURE,no
n3_06214,描く,えがく,"to draw,to paint,to sketch,to depict,to describe",画、描绘,NO PICTURE,NO PICTURE,no
n3_06218,握る,にぎる,"to grasp,to seize,to mould sushi",抓住、捕捉,NO PICTURE,NO PICTURE,no
n3_06225,支える,ささえる,"to be blocked,to choke,to be obstructed",堵塞、阻碍,NO PICTURE,NO PICTURE,no
n3_06257,断る,ことわる,"to refuse,to decline,to dismiss",拒绝、谢绝,NO PICTURE,NO PICTURE,no
n3_06275,昇る,のぼる,"to arise,to ascend,to go up",升起、上升,NO PICTURE,NO PICTURE,no
n3_06277,明ける,あける,"to dawn,to become daylight",天亮、破晓,NO PICTURE,NO PICTURE,no
n3_06292,暮らす,くらす,"to live,to get along",生活、活着,NO PICTURE,NO PICTURE,no
n3_06369,止す,よす,"to cease,to abolish,to resign,to give up",停止、放弃,NO PICTURE,NO PICTURE,no
n3_06387,気に入る,きにいる,"to be pleased with,to suit",喜欢、合意,NO PICTURE,NO PICTURE,no
n3_06403,沈む,しずむ,"to sink,to feel depressed",下沉、消沉,NO PICTURE,NO PICTURE,no
n3_06420,流す,ながす,"to drain,to float,to shed (blood, tears),to cruise (e.g. taxi)",流出、漂流、流泪,NO PICTURE,NO PICTURE,no
n3_06422,流れる,ながれる,"to stream,to flow,to run (ink),to be washed away",流动、流走,NO PICTURE,NO PICTURE,no
n3_06424,浴びる,あびる,"to bathe,to bask in the sun,to shower",沐浴、淋浴、晒太阳,NO PICTURE,NO PICTURE,no
n3_06433,済ませる,すませる,to be finished,完成、结束,NO PICTURE,NO PICTURE,no
n3_06452,濡れる,ぬれる,to get wet,弄湿、淋湿,NO PICTURE,NO PICTURE,no
n3_06458,為る,する,"to change,to be of use,to reach to",改变,NO PICTURE,NO PICTURE,no
n3_06484,狂う,くるう,"to go mad,to get out of order",发疯、出故障,NO PICTURE,NO PICTURE,no
n3_06495,現す,あらわす,"to show,to indicate,to display",展示、给看,NO PICTURE,NO PICTURE,no
n3_06518,用いる,もちいる,"to use,to make use of",使用,NO PICTURE,NO PICTURE,no
n3_06522,申し込む,もうしこむ,"to apply for,to make an application",申请、报名,NO PICTURE,NO PICTURE,no
n3_06527,留める,とめる,"to fasten,to turn off,to detain",固定、关掉、留住,NO PICTURE,NO PICTURE,no
n3_06580,破る,やぶる,"to tear,to violate,to defeat,to smash,to destroy",撕破、违反、打败,NO PICTURE,NO PICTURE,no
n3_06584,確かめる,たしかめる,to ascertain,确认、查明,NO PICTURE,NO PICTURE,no
n3_06587,示す,しめす,"to denote,to show,to point out,to indicate",展示、给看,NO PICTURE,NO PICTURE,no
n3_06591,祝う,いわう,"to congratulate,to celebrate",祝贺、庆祝,NO PICTURE,NO PICTURE,no
n3_06609,稼ぐ,かせぐ,"to earn income,to labor",赚钱、工作,NO PICTURE,NO PICTURE,no
n3_06617,空く,すく,"(1) to open,to become empty,(2) to be less crowded",空出、变空、不拥挤,NO PICTURE,NO PICTURE,no
n3_06619,立ち上がる,たちあがる,to stand up,站起来,NO PICTURE,NO PICTURE,no
n3_06654,組む,くむ,to put together,组合、组装,NO PICTURE,NO PICTURE,no
n3_06661,結ぶ,むすぶ,"to tie,to bind,to link",系、绑,NO PICTURE,NO PICTURE,no
n3_06677,繋ぐ,つなぐ,"to tie,to fasten,to connect,to transfer (phone call)",系、绑,NO PICTURE,NO PICTURE,no
n3_06704,腐る,くさる,"to rot,to go bad",腐烂、变坏,NO PICTURE,NO PICTURE,no
n3_06742,表す,あらわす,"to express,to show,to reveal",展示、给看,NO PICTURE,NO PICTURE,no
n3_06748,被る,かぶる,to suffer,遭受、蒙受,NO PICTURE,NO PICTURE,no
n3_06752,裏切る,うらぎる,"to betray,to turn traitor to,to double-cross",背叛,NO PICTURE,NO PICTURE,no
n3_06756,褒める,ほめる,"to praise,to admire,to speak well",表扬、称赞,NO PICTURE,NO PICTURE,no
n3_06768,覚ます,さます,to awaken,叫醒、唤醒,NO PICTURE,NO PICTURE,no
n3_06769,覚める,さめる,"to wake,to wake up",叫醒、唤醒,NO PICTURE,NO PICTURE,no
n3_06783,言う,ゆう,to say,说,NO PICTURE,NO PICTURE,no
n3_06784,言わば,いわば,so to speak,可以说、所谓,NO PICTURE,NO PICTURE,no
n3_06804,訴える,うったえる,"to sue (a person),to resort to,to appeal to",起诉、诉诸、呼吁,NO PICTURE,NO PICTURE,no
n3_06810,試す,ためす,"to attempt,to test",尝试、测试,NO PICTURE,NO PICTURE,no
n3_06818,認める,みとめる,"to recognize,to appreciate,to approve,to admit,to notice",承认、认可、注意到,NO PICTURE,NO PICTURE,no
n3_06820,誘う,さそう,"(1) to invite,to ask,(2) to tempt,to lure,to induce",问,NO PICTURE,NO PICTURE,no
n3_06822,語る,かたる,"to talk,to tell,to recite",讲述、诉说,NO PICTURE,NO PICTURE,no
n3_06837,諦める,あきらめる,"to give up,to abandon",放弃,NO PICTURE,NO PICTURE,no
n3_06846,譲る,ゆずる,"to turn over,to assign,to hand over",交给、递给,NO PICTURE,NO PICTURE,no
n3_06872,贈る,おくる,"to send,to give to,to award to,to confer on",发送、送,NO PICTURE,NO PICTURE,no
n3_06874,越える,こえる,"to exceed,to cross over,to cross",超过、过去,NO PICTURE,NO PICTURE,no
n3_06875,越す,こす,to go over (e.g. with audience),越过、超过,NO PICTURE,NO PICTURE,no
n3_06883,転ぶ,ころぶ,"to fall down,to fall over",跌倒、摔倒,NO PICTURE,NO PICTURE,no
n3_06888,轢く,ひく,"to run somebody over (with vehicle),to knock someone down",碾过、撞倒,NO PICTURE,NO PICTURE,no
n3_06901,追い付く,おいつく,"to overtake,to catch up (with)",追上、赶上,NO PICTURE,NO PICTURE,no
n3_06902,追う,おう,"to chase,to run after",追赶,NO PICTURE,NO PICTURE,no
n3_06905,逆らう,さからう,"to go against,to oppose,to disobey,to defy",反抗、违抗,NO PICTURE,NO PICTURE,no
n3_06907,通じる,つうじる,"to run to,to lead to,to communicate,to understand",通向、相通、理解,NO PICTURE,NO PICTURE,no
n3_06908,通す,とおす,"to let pass,to overlook,to continue",让通过、继续、忽略,NO PICTURE,NO PICTURE,no
n3_06910,通り過ぎる,とおりすぎる,"to pass,to pass through",经过、通过,NO PICTURE,NO PICTURE,no
n3_06922,進める,すすめる,"to advance,to promote,to hasten",推进、促进、前进,NO PICTURE,NO PICTURE,no
n3_06930,過ごす,すごす,"to pass,to spend,to go through,to tide over",通过、穿过,NO PICTURE,NO PICTURE,no
n3_06980,閉じる,とじる,"to close (e.g. book, eyes),to shut",合上、关闭,NO PICTURE,NO PICTURE,no
n3_06988,降ろす,おろす,"to take down,to launch,to drop",取下、放下,NO PICTURE,NO PICTURE,no
n3_06991,除く,のぞく,"to remove,to exclude,to except",除去、排除,NO PICTURE,NO PICTURE,no
n3_06999,隠れる,かくれる,"to hide,to be hidden,to conceal oneself,to disappear",消失、关掉,NO PICTURE,NO PICTURE,no
n3_07003,雇う,やとう,"to employ,to hire",雇用,NO PICTURE,NO PICTURE,no
n3_07005,離れる,はなれる,"to be separated from,to leave,to go away,to be a long way off",离开、分离、远离,NO PICTURE,NO PICTURE,no
n3_07020,頂く,いただく,"to receive,to take food or drink (hum)",接受、吃喝（谦让语）,NO PICTURE,NO PICTURE,no
n3_07026,預ける,あずける,"to give into custody,to entrust,to deposit",寄存、托付,NO PICTURE,NO PICTURE,no
n3_07029,頼る,たよる,"to rely on,to have recourse to,to depend on",依靠、依赖,NO PICTURE,NO PICTURE,no
n3_07036,飛ばす,とばす,"to skip over,to omit",跳过、省略,NO PICTURE,NO PICTURE,no
n3_07037,飛び出す,とびだす,"to jump out,to rush out,to fly out",跳出、冲出,NO PICTURE,NO PICTURE,no
n3_07039,食う,くう,(male) (vulg) to eat,吃,NO PICTURE,NO PICTURE,no
