row,id,level,word,reading,matchedTerm,sentenceId,sentenceJa,sentenceEn,sentenceZh,authorJa,authorEn,authorZh,score,status
87,n5_07915,N5,二人,ふたり,二人,11609706,私、結婚してて、二人の子持ちなのよ。,I am married and have two children.,我结婚了，而且有两个孩子。,small_snow,brauliobezerra,fucongcong,130,matched
88,n5_07951,N5,兄,あに,兄,12954902,兄は、ヘブライ語の教師をしています。,My brother is a Hebrew teacher.,,small_snow,shekitten,,96,matched
89,n5_07988,N5,医者,いしゃ,医者,11570857,今、お医者さんが診てくださってるわ。,The doctor is examining him right now.,,small_snow,Hybrid,,98,matched
90,n5_08001,N5,友達,ともだち,友達,13624409,友達にハルキウから電話をかけてます。,I'm calling my friend from Kharkiv.,,small_snow,Teashrock,,98,matched
91,n5_08048,N5,奥さん,おくさん,奥さん,10081829,彼の奥さん、カルフォルニア出身なの。,His wife comes from California.,他太太来自于加利福尼亚州。,small_snow,CK,fucongcong,132,matched
92,n5_08050,N5,女の子,おんなのこ,女の子,12734068,トムと話してる女の子はメアリーだよ。,The girl who's talking with Tom is Mary.,,bunbuku,CK,,100,matched
93,n5_08052,N5,妹,いもうと,妹,10802304,お前の妹って、うまく泳げないんだろ？,"Your sister can't swim well, can she?",你的姐姐游泳得不好，是不是？,bunbuku,CK,sysko,128,matched
94,n5_08053,N5,姉,あね,姉,10264537,この辞書、うちのお姉ちゃんのなんだ。,This dictionary is my sister's.,這本字典是我妹妹的。,bunbuku,CK,Martha,128,matched
95,n5_08057,N5,子供,こども,子供,12934038,通りで子供たちがサッカーをしている。,Children are playing football in the street.,,small_snow,sundown,,98,matched
96,n5_08060,N5,学生,がくせい,学生,13715791,僕も学生の時はよく就業をサボったよ。,"When I was a student, I also often cut classes.",,GreySquirrel,GreySquirrel,,98,matched
97,n5_08064,N5,家族,かぞく,家族,11571049,自分の人生より、家族の方が大切なの。,My family means more to me than my life does.,,small_snow,megamanenm,,98,matched
98,n5_08088,N5,弟,おとうと,弟,12142851,あいつの弟は、テレビばっかり見てる。,His brother watches TV all the time.,,small_snow,AlanF_US,,96,matched
99,n5_08211,N5,男の子,おとこのこ,男の子,12526669,男の子はカエルに石を投げつけました。,The boy threw a stone at the frog.,,bunbuku,CK,,100,matched
100,n5_08213,N5,留学生,りゅうがくせい,留学生,184748,外国人留学生は私たちに援助を求めた。,Foreign students demanded help from us.,,\N,shekitten,,100,matched
101,n5_07850,N5,デパート,デパート,デパート,11841667,この通りに、デパートってありますか？,Is there a department store on this street?,,small_snow,ddnktr,,102,matched
