id,word,reading,meaning,meaningZh,image_type,visual_domain,image_query_en,review
n1_01362,富豪,ふごう,wealthy person;millionaire,富豪,single_object_or_place,person_family,wealthy person,
n1_01506,弟,おと,younger brother,弟弟,single_object_or_place,person_family,younger brother,
n1_01560,従業員,じゅうぎょういん,employee;worker,员工,single_object_or_place,person_family,employee,
n1_02355,父母,ちちはは,father and mother;parents,父母,single_object_or_place,person_family,father and mother,
n1_02692,給仕,きゅうじ,office boy (girl);page;waiter,服务员;侍者,single_object_or_place,person_family,office boy,
n1_03266,部下,ぶか,subordinate person,下属,single_object_or_place,person_family,subordinate person,
n1_00635,保母,ほぼ,day care worker in a kindergarten nursery school etc.,保姆,single_object_or_place,place_building,day care worker in a kindergarten nursery school etc.,
n1_00916,勤め先,つとめさき,place of work,工作地点,single_object_or_place,place_building,place of work,
n1_00977,参議院,さんぎいん,House of Councillors,参议院,single_object_or_place,place_building,House of Councillors,
n1_01123,問屋,といや,wholesale store,批发店,single_object_or_place,place_building,wholesale store,
n1_01194,堤防,ていぼう,bank;weir,堤坝,single_object_or_place,place_building,bank,
n1_01205,塾,じゅく,coaching school;lessons,补习班,single_object_or_place,place_building,coaching school,
n1_01475,店,てん,store;shop;establishment,店铺,single_object_or_place,place_building,store,
n1_01816,控室,ひかえしつ,waiting room,休息室,single_object_or_place,place_building,waiting room,
n1_01917,日向,ひなた,sunny place;in the sun,向阳处,single_object_or_place,place_building,sunny place,
n1_02008,本館,ほんかん,main building,主楼,single_object_or_place,place_building,main building,
n1_02574,社宅,しゃたく,company owned house,公司宿舍,single_object_or_place,place_building,company owned house,
n1_02599,税務署,ぜいむしょ,tax office,税务局,single_object_or_place,place_building,tax office,
n1_02693,給食,きゅうしょく,school lunch;providing a meal,校餐；供餐,single_object_or_place,place_building,school lunch,
n1_02844,茶の間,ちゃのま,living room (Japanese style),和室（客厅）,single_object_or_place,place_building,living room,
n1_02890,衆議院,しゅうぎいん,Lower House;House of Representatives,众议院；下议院,single_object_or_place,place_building,Lower House,
n1_02895,行員,こういん,bank clerk,银行职员,single_object_or_place,place_building,bank clerk,
n1_02901,街頭,がいとう,in the street,街头,single_object_or_place,place_building,in the street,
n1_03049,議事堂,ぎじどう,Diet building,国会大厦,single_object_or_place,place_building,Diet building,
n1_03426,館,かん,house;hall;building;hotel;inn;guesthouse,馆,single_object_or_place,place_building,house,
n1_00209,スポーツカー,スポーツカー / スポーツ・カー,sports car,跑车,single_object_or_place,transport,sports car,
n1_00267,パトカー,パトカー,patrol car,警车,single_object_or_place,transport,patrol car,
n1_00324,レンタカー,レンタカー,hire car (lit: rent-a-car),租车,single_object_or_place,transport,hire car,
n1_01295,始発,しはつ,first train,首班车,single_object_or_place,transport,first train,
n1_02816,船舶,せんぱく,ship,船舶,single_object_or_place,transport,ship,
n1_03103,走行,そうこう,running a wheeled vehicle (e.g. car);traveling,行驶,single_object_or_place,transport,running a wheeled vehicle,
n1_00023,お八,おやつ,1. (uk) between meal snack;afternoon refreshment;afternoon tea; 2. mid-day snack,点心,single_object_or_place,food_drink,1.  between meal snack,
n1_00052,くっ付く,くっつく,to adhere to;to keep close to,粘附,person_action_scene,action_state,person adhering to,
n1_00053,くっ付ける,くっつける,to attach,粘贴,person_action_scene,action_state,person attaching,
n1_00077,すれ違う,すれちがう,to pass by one another;to disagree;to miss each other,擦肩而过,person_action_scene,action_state,person passing by one another,
n1_00084,ずれる,ずれる / ズレる / づれる,to slide;to slip off,滑出;偏离,person_action_scene,action_state,person sliding,
n1_00115,ぶら下げる,ぶらさげる,to hang;to suspend;to dangle;to swing,悬挂,person_action_scene,action_state,person hanging,
n1_00376,上がる,あがる,to enter;to go up;to rise;to climb up;to advance;to appreciate;to be promoted;to improve;to call on;,上升;进入,person_action_scene,action_state,person enterring,
n1_00386,下がる,さがる,to hang down;to abate;to retire;to fall;to step back,下降;退下,person_action_scene,action_state,person hanging down,
n1_00445,丸める,まるめる,to make round;to round off;to roll up;to curl up;to seduce;to cajole;to explain away,使成圆;卷起;哄骗,person_action_scene,action_state,person making round,
n1_00465,乱す,みだす,to throw out of order;to disarrange;to disturb,扰乱,person_action_scene,action_state,person throwwing out of order,
n1_00488,交える,まじえる,to mix;to converse with;to cross (swords),混合；交谈,person_action_scene,action_state,person mixxing,
n1_00523,仕立てる,したてる,to tailor;to make;to prepare;to train;to send (a messenger),裁缝；训练,person_action_scene,action_state,person tailorring,
n1_00526,仕舞う,しまう,to finish;to close;to do something completely;to put away;to put an end to,结束；收起,person_action_scene,action_state,person finishing,
n1_00545,仰ぐ,あおぐ,to look up (to);to respect;to depend on;to ask for;to seek;to revere;to drink;to take,仰望；尊敬,person_action_scene,action_state,person looking up,
n1_00546,仰っしゃる,おっしゃる,to say;to speak;to tell;to talk,说；告诉,person_action_scene,action_state,person saying,
n1_00555,休める,やすめる,to rest;to suspend;to give relief,休息；暂停,person_action_scene,action_state,person resting,
n1_00566,伴う,ともなう,to accompany;to bring with;to be accompanied by;to be involved in,伴随；伴有,person_action_scene,action_state,person accompanying,
n1_00686,傾ける,かたむける,to incline;to list;to bend;to lean;to tip;to tilt;to slant;to concentrate on;to ruin (a country);to,倾斜,person_action_scene,action_state,person inclining,
n1_00722,入る,いる,to get in;to go in;to come in;to flow into;to set;to set in,进入,person_action_scene,action_state,person getting in,
n1_00788,冷やかす,ひやかす,to banter;to make fun of;to jeer at;to cool;to refrigerate,取笑；戏弄,person_action_scene,action_state,person banterring,
n1_00793,凝らす,こごらす,to freeze;to congeal,凝固；冻结,person_action_scene,action_state,person freezing,
n1_00794,凝る,こごる,to congeal;to freeze,凝固；冻结,person_action_scene,action_state,person congealing,
n1_00801,凭れる,もたれる,to lean against;to lean on;to recline on;to lie heavy (on the stomach),倚靠；依靠,person_action_scene,action_state,person leaning against,
n1_00803,出くわす,でくわす,to happen to meet;to come across,偶然遇见,person_action_scene,action_state,person happenning to meet,
n1_00808,出合う,であう,to meet by chance;to come across;to happen to encounter;to hold a rendezvous;to have a date,碰见；相遇,person_action_scene,action_state,person meeting by chance,
n1_00833,切り替える,きりかえる,to change;to exchange;to convert;to renew;to throw a switch;to replace;to switch over,更换,person_action_scene,action_state,person changing,
n1_00862,剃る,する,to shave,剃,person_action_scene,action_state,person shaving,
n1_00871,剥がす,はがす,to tear off;to peel off;to rip off;to strip off;to skin;to flay;to disrobe;to deprive of;to detach;t,撕掉;剥下,person_action_scene,action_state,person tearing off,
n1_00872,剥ぐ,はぐ,to tear off;to peel off;to rip off;to strip off;to skin;to flay;to disrobe;to deprive of,剥开,person_action_scene,action_state,person tearing off,
n1_00878,割り込む,わりこむ,to cut in;to thrust oneself into;to wedge oneself in;to muscle in on;to interrupt;to disturb,插队,person_action_scene,action_state,person cutting in,
n1_00912,募る,つのる,to invite;to solicit help participation etc,募集;呼吁,person_action_scene,action_state,person inviting,
n1_00924,化ける,ばける,to appear in disguise;to take the form of;to change for the worse,变作;变形,person_action_scene,action_state,person appearing in disguise,
n1_00998,取り寄せる,とりよせる,to order;to send away for,订购,person_action_scene,action_state,person orderring,
n1_01001,取り戻す,とりもどす,to take back;to regain,收回；恢复,person_action_scene,action_state,person taking back,
n1_01006,取り混ぜる,とりまぜる,to mix;to put together,混合,person_action_scene,action_state,person mixxing,
n1_01007,取り立てる,とりたてる,to collect;to extort;to appoint;to promote,催收；任命,person_action_scene,action_state,person collecting,
n1_01012,取り除く,とりのぞく,to remove;to take away;to set apart,移除；去除,person_action_scene,action_state,person removing,
n1_01019,受け止める,うけとめる,to catch;to stop the blow;to react to;to take,承接；接受,person_action_scene,action_state,person catching,
n1_01022,口ずさむ,くちずさむ,to hum something;to sing to oneself,哼唱；自哼自唱,person_action_scene,action_state,person humming something,
n1_01028,召す,めす,to call;to send for;to put on;to wear;to take (a bath);to ride in;to buy;to eat;to drink;to catch (a,召来；穿戴,person_action_scene,action_state,person calling,
n1_01047,合わす,あわす,to join together;to face;to unite;to be opposite;to combine;to connect;to add up;to mix;to match;to,配合；匹配,person_action_scene,action_state,person joining together,
n1_01057,吊るす,つるす,to hang,悬挂,person_action_scene,action_state,person hanging,
n1_01102,呼び止める,よびとめる,to challenge;to call somebody to halt,叫住；挑战,person_action_scene,action_state,person challenging,
n1_01115,唱える,となえる,to recite;to chant;to call upon,吟唱；呼唤,person_action_scene,action_state,person reciting,
n1_01122,問う,とう,to ask;to question;to charge (i.e. with a crime);to accuse;without regard to (neg),质问；指责,person_action_scene,action_state,person asking,
n1_01130,営む,いとなむ,to carry on (e.g. in ceremony);to run a business,经营；举办,person_action_scene,action_state,person carrying on,
n1_01135,嘗める,なめる,to lick;to taste;to experience;to make fun of;to make light of;to put down;to treat with contempt,舔；品尝；体验,person_action_scene,action_state,person licking,
n1_01139,噛み切る,かみきる,to bite off;to gnaw through,咬断；啃掉,person_action_scene,action_state,person biting off,
n1_01140,噛る,かじる,to chew;to bite (at);to gnaw;to nibble;to munch;to crunch;to have a smattering of,咀嚼；咬；啃；嗑,person_action_scene,action_state,person chewwing,
n1_01145,囀る,さえずる,to sing;to chirp;to twitter,鸣叫,person_action_scene,action_state,person singing,
n1_01154,固める,かためる,to harden;to freeze;to fortify,使变硬;冻结,person_action_scene,action_state,person hardenning,
n1_01183,垂れる,たれる,to hang;to droop;to drop;to lower;to pull down;to dangle;to sag;to drip;to ooze;to trickle;to leave,悬挂;下垂,person_action_scene,action_state,person hanging,
n1_01185,埋まる,うずまる,to be buried;to be surrounded;to overflow;to be filled,被埋没;溢出,person_action_scene,action_state,person being buried,
n1_01186,埋め込む,うめこむ,to bury,埋葬,person_action_scene,action_state,person burying,
n1_01202,填まる,はまる,to get into;to go into;to fit;to be fit for;to suit;to fall into;to plunge into;to be deceived;to be,合适;陷入,person_action_scene,action_state,person getting into,
n1_01203,填める,はめる,to get in;to insert;to put on;to make love,塞入;插入,person_action_scene,action_state,person getting in,
n1_01216,売り出す,うりだす,to put on sale;to market;to become popular,推出销售;流行起来,person_action_scene,action_state,person putting on sale,
n1_01352,寄こす,よこす,to send;to forward,寄送,person_action_scene,action_state,person sending,
n1_01353,寄り掛かる,よりかかる,to lean against;to recline on;to lean on;to rely on,倚靠,person_action_scene,action_state,person leaning against,
n1_01365,寝かせる,ねかせる,to put to bed;to lay down;to ferment,让……睡觉;放置,person_action_scene,action_state,person putting to bed,
n1_01449,帯びる,おびる,to wear;to carry;to be entrusted;to have;to take on;to have a trace of;to be tinged with,带有;承担,person_action_scene,action_state,person wearing,
n1_01495,引きずる,ひきずる,to seduce;to drag along;to pull;to prolong;to support,拖拽;拉扯,person_action_scene,action_state,person seducing,
n1_01496,引き上げる,ひきあげる,to withdraw;to leave;to pull out;to retire,撤退;抽出,person_action_scene,action_state,person withdrawwing,
n1_01497,引き下げる,ひきさげる,to pull down;to lower;to reduce;to withdraw,降低;减少,person_action_scene,action_state,person pulling down,
n1_01600,怒鳴る,どなる,to shout;to yell,怒喊,person_action_scene,action_state,person shouting,
n1_01727,打ち切る,うちきる,to stop;to abort;to discontinue;to close,中止、截止,person_action_scene,action_state,person stopping,
n1_01729,打ち合わせる,うちあわせる,to knock together;to arrange,协商；安排,person_action_scene,action_state,person knocking together,
n1_01731,打ち込む,うちこむ,to drive in (e.g. nail stake);to devote oneself to;to shoot into;to smash;to throw into;to cast int,打入、专心投入,person_action_scene,action_state,person driving in,
n1_01732,打付ける,ぶつける,to knock;to run into;to nail on;to strike hard;to hit and attack,猛撞、钉上,person_action_scene,action_state,person knocking,
n1_01744,投げ出す,なげだす,to throw down;to abandon;to sacrifice;to throw out,放弃；扔掉,person_action_scene,action_state,person throwwing down,
n1_01749,折り返す,おりかえす,to turn up;to fold back,折返、折回,person_action_scene,action_state,person turning up,
n1_01753,押さえる,おさえる,to stop;to restrain;to seize;to repress;to suppress;to press down,压制；制止,person_action_scene,action_state,person stopping,
n1_01754,押し寄せる,おしよせる,to push aside;to advance on,逼近；涌来,person_action_scene,action_state,person pushing aside,
n1_01755,押し込む,おしこむ,to push into;to crowd into,挤入；塞入,person_action_scene,action_state,person pushing into,
n1_01757,担う,になう,to carry on shoulder;to bear (burden);to shoulder (gun),承担；肩负,person_action_scene,action_state,person carrying on shoulder,
n1_01759,拐う,さらう,to carry off;to run away with;to kidnap;to abduct,拐走；绑架,person_action_scene,action_state,person carrying off,
n1_01768,拵える,こしらえる,to make;to manufacture,制作；制造,person_action_scene,action_state,person making,
n1_01772,持て成す,もてなす,to entertain;to make welcome,款待；招待,person_action_scene,action_state,person entertaining,
n1_01776,指差す,ゆびさす,to point at,指向；指着,person_action_scene,action_state,person pointing at,
n1_01780,挑む,いどむ,to challenge;to contend for;to make love to,挑战；追求,person_action_scene,action_state,person challenging,
n1_01786,捕らえる,とらえる,to seize;to grasp;to capture;to arrest,抓住；捕获,person_action_scene,action_state,person seizing,
n1_01794,捧げる,ささげる,to lift up;to give;to offer;to consecrate;to devote;to sacrifice;to dedicate,捧,person_action_scene,action_state,person lifting up,
n1_01815,控える,ひかえる,to draw in;to hold back;to make notes;to be temperate in,克制；收敛,person_action_scene,action_state,person drawwing in,
n1_01833,揶揄う,からかう,to ridicule;to tease;to banter with;to make fun of,嘲弄；戏谑,person_action_scene,action_state,person ridiculing,
n1_01834,揺さぶる,ゆさぶる,to shake;to jolt;to rock;to swing,摇动；晃动,person_action_scene,action_state,person shaking,
n1_01835,揺らぐ,ゆらぐ,to swing;to sway;to shake;to tremble,摇摆；震动,person_action_scene,action_state,person swinging,
n1_01840,摘む,つまむ,to pinch;to hold;to pick up,捏；摘取,person_action_scene,action_state,person pinching,
n1_01841,操る,あやつる,to manipulate;to operate;to pull strings,操纵；操作,person_action_scene,action_state,person manipulating,
n1_01844,擦れる,すれる,to rub;to chafe;to wear;to become sophisticated,擦过；磨砺,person_action_scene,action_state,person rubbing,
n1_01856,放り出す,ほうりだす,to throw out;to fire;to expel;to give up;to abandon;to neglect,扔出,person_action_scene,action_state,person throwwing out,
n1_01857,放り込む,ほうりこむ,to throw into,扔进,person_action_scene,action_state,person throwwing into,
n1_01880,散蒔く,ばらまく,to disseminate;to scatter;to give money freely,撒播;散发,person_action_scene,action_state,person disseminating,
n1_01883,整える,ととのえる,to put in order;to get ready;to arrange;to adjust,整理;安排,person_action_scene,action_state,person putting in order,
n1_01907,施す,ほどこす,to donate;to give;to conduct;to apply;to perform,施舍;施行,person_action_scene,action_state,person donating,
n1_01939,映える,はえる,to shine;to look attractive;to look pretty,显得漂亮,person_action_scene,action_state,person shining,
n1_01963,曲がる,まがる,to turn;to bend,弯曲;拐弯,person_action_scene,action_state,person turning,
n1_01965,書き取る,かきとる,to write down;to take dictation;to take notes,抄写;记录,person_action_scene,action_state,person writing down,
n1_02021,果たす,はたす,to accomplish;to fulfill;to carry out;to achieve,完成、实现,person_action_scene,action_state,person accomplishing,
n1_02027,染みる,しみる,to pierce;to permeate,渗入、刺痛,person_action_scene,action_state,person piercing,
n1_02102,止める,とどめる,to stop;to cease;to put an end to,停止、终止,person_action_scene,action_state,person stopping,
n1_02117,歩む,あゆむ,to walk;to go on foot,步行、前进,person_action_scene,action_state,person walking,
n1_02129,殴る,なぐる,to strike;to hit,殴打,person_action_scene,action_state,person striking,
n1_02139,毟る,むしる,to pluck;to pick;to tear,撕扯；拔,person_action_scene,action_state,person plucking,
n1_02151,気触れる,かぶれる,to react to;to be influenced by;to go overboard for,反应,person_action_scene,action_state,person reacting to,
n1_02191,沿う,そう,to run along;to follow,沿着；跟随,person_action_scene,action_state,person running along,
n1_02202,洒落る,しゃれる,to joke;to play on words;to dress stylishly,开玩笑,person_action_scene,action_state,person joking,
n1_02205,活ける,いける,to arrange (flowers),插花,person_action_scene,action_state,person arranging,
n1_02217,浮かぶ,うかぶ,to float;to rise to surface;to come to mind,浮现;浮起,person_action_scene,action_state,person floating,
n1_02226,浸す,ひたす,to soak;to dip;to drench,浸泡,person_action_scene,action_state,person soaking,
n1_02231,涸れる,かれる,to dry up;to run out,干涸,person_action_scene,action_state,person drying up,
n1_02237,添える,そえる,to add to;to attach;to append;to accompany;to garnish;to imitate;to annex,添上;附上,person_action_scene,action_state,person adding to,
n1_02262,溢れる,あふれる,to flood;to overflow;to brim over,溢出;泛滥,person_action_scene,action_state,person flooding,
n1_02264,滅びる,ほろびる,to be ruined;to go under;to perish;to be destroyed,毁灭;衰落,person_action_scene,action_state,person being ruined,
n1_02272,滲む,にじむ,to run;to blur;to spread;to blot;to ooze,渗透,person_action_scene,action_state,person running,
n1_02275,漂う,ただよう,to drift about;to float;to hang in air,漂浮,person_action_scene,action_state,person drifting about,
n1_02277,漏る,もる,to leak;to run out,漏出,person_action_scene,action_state,person leaking,
n1_02278,漏れる,もれる,to leak out;to escape;to come through;to shine through;to filter out;to be omitted,泄露；逃出,person_action_scene,action_state,person leaking out,
n1_02279,演じる,えんじる,to perform (a play);to play (a part);to act (a part);to commit (a blunder),扮演；演出,person_action_scene,action_state,person performing,
n1_02280,演ずる,えんずる,to perform;to play,扮演；演出,person_action_scene,action_state,person performing,
n1_02286,潜る,くぐる,1. to drive;to pass through; 2. to evade;to hide; 3. to dive (into or under water);to go undergro,潜入；潜水,person_action_scene,action_state,person 1.ing to drive,
n1_02289,潤う,うるおう,to be moist;to be damp;to get wet;to profit by;to be watered;to receive benefits;to favor;to charm;t,滋润,person_action_scene,action_state,person being moist,
n1_02291,澄ます,すます,to clear;to make clear;to be unruffled;to look unconcerned;to look demure;look prim;put on airs,澄清,person_action_scene,action_state,person clearing,
n1_02295,濯ぐ,すすぐ,to rinse;to wash out,冲洗,person_action_scene,action_state,person rinsing,
n1_02305,炙る,あぶる,to scorch,烤,person_action_scene,action_state,person scorching,
n1_02343,照り返す,てりかえす,to reflect;to throw back light,反射,person_action_scene,action_state,person reflecting,
n1_02410,生かす,いかす,to revive;to resuscitate;to make use of,利用,person_action_scene,action_state,person reviving,
n1_02412,生やす,はやす,to grow;to cultivate;to wear beard,留胡子,person_action_scene,action_state,person growwing,
n1_02421,産む,うむ,to give birth;to deliver;to produce,生育;生产,person_action_scene,action_state,person giving birth,
n1_02435,申し出る,もうしでる,to report to;to tell;to suggest;to submit;to request;to make an offer;to come forward with informati,提出,person_action_scene,action_state,person reporting to,
n1_02443,留める,とどめる,to stop;to cease;to put an end to,阻止；停止,person_action_scene,action_state,person stopping,
n1_02460,病む,やむ,to fall ill;to be ill,生病；患病,person_action_scene,action_state,person falling ill,
n1_02467,痺れる,しびれる,to become numb;to go to sleep (i.e. a limb),麻木；失去知觉,person_action_scene,action_state,person becoming numb,
n1_02542,瞑る,つぶる,to close the eyes,闭上眼睛,person_action_scene,action_state,person closing the eyes,
n1_02556,研ぐ,とぐ,to sharpen;to grind;to scour;to hone;to polish;to wash (rice),磨；擦亮,person_action_scene,action_state,person sharpenning,
n1_02594,称する,しょうする,to pretend;to take the name of;to feign;to purport,称作；称为,person_action_scene,action_state,person pretending,
n1_02636,築く,きずく,to build;to pile up;to amass,建造；建立,person_action_scene,action_state,person building,
n1_02674,組み込む,くみこむ,to insert;to include;to cut in (printing),插入；包含,person_action_scene,action_state,person inserting,
n1_02684,結び付ける,むすびつける,to combine;to join;to tie on;to attach with a knot,连接,person_action_scene,action_state,person combining,
n1_02700,絶つ,たつ,to sever;to cut off;to suppress;to abstain (from),切断；抑制；戒除,person_action_scene,action_state,person severring,
n1_02706,綴じる,とじる,to bind;to file,装订,person_action_scene,action_state,person binding,
n1_02707,綻びる,ほころびる,to come apart at the seams;to begin to open;to smile broadly,裂开；绽放,person_action_scene,action_state,person coming apart at the seams,
n1_02728,織る,おる,to weave,编织,person_action_scene,action_state,person weaving,
n1_02730,繕う,つくろう,to mend;to repair;to fix;to patch up;to darn;to tidy up;to adjust;to trim,修补；整理,person_action_scene,action_state,person mending,
n1_02734,罵る,ののしる,to speak ill of;to abuse,辱骂；责备,person_action_scene,action_state,person speaking ill of,
n1_02739,群がる,むらがる,to swarm;to gather,聚集；群集,person_action_scene,action_state,person swarming,
n1_02766,背く,そむく,to run counter to;to go against;to disobey;to infringe,违背,person_action_scene,action_state,person running counter to,
n1_02769,背負う,しょう,to be burdened with;to carry on back or shoulder,背负；承担,person_action_scene,action_state,person being burdened with,
n1_02772,脅かす,おどかす,to threaten;to coerce,威胁,person_action_scene,action_state,person threatenning,
n1_02773,脅す,おどす,to threaten;to menace,威胁,person_action_scene,action_state,person threatenning,
n1_02810,興じる,きょうじる,to amuse oneself;to make merry,娱乐,person_action_scene,action_state,person amusing oneself,
n1_02814,舞う,まう,to dance;to flutter about;to revolve,跳舞；飞舞,person_action_scene,action_state,person dancing,
n1_02845,茹でる,ゆでる,to boil,煮,person_action_scene,action_state,person boiling,
n1_02861,落ち込む,おちこむ,to fall into;to feel down (sad),沮丧；情绪低落,person_action_scene,action_state,person falling into,
n1_02869,葬る,ほうむる,to bury;to inter;to entomb;to consign to oblivion;to shelve,埋葬,person_action_scene,action_state,person burying,
n1_02907,衰える,おとろえる,to become weak;to decline;to wear;to abate;to decay;to wither;to waste away,衰退,person_action_scene,action_state,person becoming weak,
n1_02909,裂ける,さける,to split;to tear;to burst,裂开,person_action_scene,action_state,person splitting,
n1_02927,襲う,おそう,to attack,袭击,person_action_scene,action_state,person attacking,
n1_02930,要する,ようする,to demand;to require;to take,要求,person_action_scene,action_state,person demanding,
n1_02937,見せびらかす,みせびらかす,to show off;to flaunt,炫耀,person_action_scene,action_state,person showwing off,
n1_02941,見合わせる,みあわせる,to exchange glances;to postpone;to suspend operations;to refrain from performing an action,商量；推迟,person_action_scene,action_state,person exchanging glances,
n1_02943,見掛ける,みかける,to (happen to) see;to notice;to catch sight of,遇见；碰见,person_action_scene,action_state,person seeing,
n1_02946,見渡す,みわたす,to look out over;to survey (scene);to take an extensive view of,眺望,person_action_scene,action_state,person looking out over,
n1_02972,解く,ほどく,to unfasten,解开,person_action_scene,action_state,person unfastenning,
n1_02982,記す,しるす,to note;to write down,记录,person_action_scene,action_state,person noting,
n1_02986,訪れる,おとずれる,to visit,拜访；来访,person_action_scene,action_state,person visitting,
n1_03009,誂える,あつらえる,to give an order;to place an order,定制,person_action_scene,action_state,person giving an order,
n1_03012,認める,したためる,to write up,记下；填写,person_action_scene,action_state,person writing up,
n1_03021,誤る,あやまる,to make a mistake,出错；犯错误,person_action_scene,action_state,person making a mistake,
n1_03026,読み上げる,よみあげる,to read out loud (and clearly);to call a roll,朗读,person_action_scene,action_state,person reading out loud,
n1_03071,貫く,つらぬく,to go through,穿过,person_action_scene,action_state,person going through,
