id,word,reading,meaning,image_type,visual_domain,image_query_en,review
n3_05920,売れる,うれる,to be sold,person_action_scene,action_state,person being sold,
n3_05925,外す,はずす,"to unfasten,to remove",person_action_scene,action_state,person unfastenning,
n3_05961,奪う,うばう,to snatch away,person_action_scene,action_state,person snatching away,
n3_05979,学ぶ,まなぶ,"to study (in depth),to learn,to take lessons in",person_action_scene,action_state,person studying,
n3_06031,就く,つく,"to settle in (place),to take (seat, position),to study (under teacher)",person_action_scene,action_state,person settling in,
n3_06038,届く,とどく,to reach,person_action_scene,action_state,person reaching,
n3_06040,履く,はく,"to wear,to put on (lower body)",person_action_scene,action_state,person wearing,
n3_06089,引っ張る,ひっぱる,"(1) to pull,to draw,to stretch,to drag,(2) to pull the ball (baseball)",person_action_scene,action_state,person pulling,
n3_06098,当てる,あてる,"to hit,to apply a patch",person_action_scene,action_state,person hitting,
n3_06167,成る,なる,to become,person_action_scene,action_state,person becoming,
n3_06176,戦う,たたかう,"to fight,to battle,to combat",person_action_scene,action_state,person fighting,
n3_06177,戻す,もどす,"to restore,to put back,to return",person_action_scene,action_state,person restoring,
n3_06186,扱う,あつかう,"to handle,to deal with,to treat",person_action_scene,action_state,person handling,
n3_06193,抜く,ぬく,"to extract,to omit,to surpass,to draw out,to unplug",person_action_scene,action_state,person extracting,
n3_06194,抜ける,ぬける,"to come out,to fall out,to be omitted",person_action_scene,action_state,person coming out,
n3_06195,抱える,かかえる,to hold or carry under or in the arms,person_action_scene,action_state,person holding or carry under or in the arms,
n3_06196,抱く,いだく,"(sl) to embrace,to hug,to harbour,to entertain",person_action_scene,action_state,person embracing,
n3_06200,招く,まねく,to invite,person_action_scene,action_state,person inviting,
n3_06204,指す,さす,"to point,to put up umbrella,to play",person_action_scene,action_state,person pointing,
n3_06207,振る,ふる,"(1) to wave,to shake,to swing,(2) to sprinkle,(3) to cast (actor),to allocate (work)",person_action_scene,action_state,person waving,
n3_06208,捕まる,つかまる,"to be caught,to be arrested",person_action_scene,action_state,person being caught,
n3_06210,掛かる,かかる,"to take (e.g. time, money, etc),to hang",person_action_scene,action_state,person taking (e.g. time,
n3_06213,掴む,つかむ,"to seize,to catch,to grasp",person_action_scene,action_state,person seizing,
n3_06214,描く,えがく,"to draw,to paint,to sketch,to depict,to describe",person_action_scene,action_state,person drawwing,
n3_06218,握る,にぎる,"to grasp,to seize,to mould sushi",person_action_scene,action_state,person grasping,
n3_06225,支える,ささえる,"to be blocked,to choke,to be obstructed",person_action_scene,action_state,person being blocked,
n3_06257,断る,ことわる,"to refuse,to decline,to dismiss",person_action_scene,action_state,person refusing,
n3_06275,昇る,のぼる,"to arise,to ascend,to go up",person_action_scene,action_state,person arising,
n3_06277,明ける,あける,"to dawn,to become daylight",person_action_scene,action_state,person dawning,
n3_06292,暮らす,くらす,"to live,to get along",person_action_scene,action_state,person living,
n3_06369,止す,よす,"to cease,to abolish,to resign,to give up",person_action_scene,action_state,person ceasing,
n3_06387,気に入る,きにいる,"to be pleased with,to suit",person_action_scene,action_state,person being pleased with,
n3_06403,沈む,しずむ,"to sink,to feel depressed",person_action_scene,action_state,person sinking,
n3_06420,流す,ながす,"to drain,to float,to shed (blood, tears),to cruise (e.g. taxi)",person_action_scene,action_state,person draining,
n3_06422,流れる,ながれる,"to stream,to flow,to run (ink),to be washed away",person_action_scene,action_state,person streaming,
n3_06424,浴びる,あびる,"to bathe,to bask in the sun,to shower",person_action_scene,action_state,person bathing,
n3_06433,済ませる,すませる,to be finished,person_action_scene,action_state,person being finished,
n3_06452,濡れる,ぬれる,to get wet,person_action_scene,action_state,person getting wet,
n3_06458,為る,する,"to change,to be of use,to reach to",person_action_scene,action_state,person changing,
n3_06484,狂う,くるう,"to go mad,to get out of order",person_action_scene,action_state,person going mad,
n3_06495,現す,あらわす,"to show,to indicate,to display",person_action_scene,action_state,person showwing,
n3_06518,用いる,もちいる,"to use,to make use of",person_action_scene,action_state,person using,
n3_06522,申し込む,もうしこむ,"to apply for,to make an application",person_action_scene,action_state,person applying for,
n3_06527,留める,とめる,"to fasten,to turn off,to detain",person_action_scene,action_state,person fastenning,
n3_06580,破る,やぶる,"to tear,to violate,to defeat,to smash,to destroy",person_action_scene,action_state,person tearing,
n3_06584,確かめる,たしかめる,to ascertain,person_action_scene,action_state,person ascertaining,
n3_06587,示す,しめす,"to denote,to show,to point out,to indicate",person_action_scene,action_state,person denoting,
n3_06591,祝う,いわう,"to congratulate,to celebrate",person_action_scene,action_state,person congratulating,
n3_06609,稼ぐ,かせぐ,"to earn income,to labor",person_action_scene,action_state,person earning income,
n3_06617,空く,すく,"(1) to open,to become empty,(2) to be less crowded",person_action_scene,action_state,person openning,
n3_06619,立ち上がる,たちあがる,to stand up,person_action_scene,action_state,person standing up,
n3_06654,組む,くむ,to put together,person_action_scene,action_state,person putting together,
n3_06661,結ぶ,むすぶ,"to tie,to bind,to link",person_action_scene,action_state,person tying,
n3_06677,繋ぐ,つなぐ,"to tie,to fasten,to connect,to transfer (phone call)",person_action_scene,action_state,person tying,
n3_06704,腐る,くさる,"to rot,to go bad",person_action_scene,action_state,person rotting,
n3_06742,表す,あらわす,"to express,to show,to reveal",person_action_scene,action_state,person expressing,
n3_06748,被る,かぶる,to suffer,person_action_scene,action_state,person sufferring,
n3_06752,裏切る,うらぎる,"to betray,to turn traitor to,to double-cross",person_action_scene,action_state,person betraying,
n3_06756,褒める,ほめる,"to praise,to admire,to speak well",person_action_scene,action_state,person praising,
n3_06768,覚ます,さます,to awaken,person_action_scene,action_state,person awakenning,
n3_06769,覚める,さめる,"to wake,to wake up",person_action_scene,action_state,person waking,
n3_06783,言う,ゆう,to say,person_action_scene,action_state,person saying,
n3_06784,言わば,いわば,so to speak,person_action_scene,action_state,person soing to speak,
n3_06804,訴える,うったえる,"to sue (a person),to resort to,to appeal to",person_action_scene,action_state,person suing,
n3_06810,試す,ためす,"to attempt,to test",person_action_scene,action_state,person attempting,
n3_06818,認める,みとめる,"to recognize,to appreciate,to approve,to admit,to notice",person_action_scene,action_state,person recognizing,
n3_06820,誘う,さそう,"(1) to invite,to ask,(2) to tempt,to lure,to induce",person_action_scene,action_state,person inviting,
n3_06822,語る,かたる,"to talk,to tell,to recite",person_action_scene,action_state,person talking,
n3_06837,諦める,あきらめる,"to give up,to abandon",person_action_scene,action_state,person giving up,
n3_06846,譲る,ゆずる,"to turn over,to assign,to hand over",person_action_scene,action_state,person turning over,
n3_06872,贈る,おくる,"to send,to give to,to award to,to confer on",person_action_scene,action_state,person sending,
n3_06874,越える,こえる,"to exceed,to cross over,to cross",person_action_scene,action_state,person exceeding,
n3_06875,越す,こす,to go over (e.g. with audience),person_action_scene,action_state,person going over,
n3_06883,転ぶ,ころぶ,"to fall down,to fall over",person_action_scene,action_state,person falling down,
n3_06888,轢く,ひく,"to run somebody over (with vehicle),to knock someone down",person_action_scene,action_state,person running somebody over,
n3_06901,追い付く,おいつく,"to overtake,to catch up (with)",person_action_scene,action_state,person overtaking,
n3_06902,追う,おう,"to chase,to run after",person_action_scene,action_state,person chasing,
n3_06905,逆らう,さからう,"to go against,to oppose,to disobey,to defy",person_action_scene,action_state,person going against,
n3_06907,通じる,つうじる,"to run to,to lead to,to communicate,to understand",person_action_scene,action_state,person running to,
n3_06908,通す,とおす,"to let pass,to overlook,to continue",person_action_scene,action_state,person letting pass,
n3_06910,通り過ぎる,とおりすぎる,"to pass,to pass through",person_action_scene,action_state,person passing,
n3_06922,進める,すすめる,"to advance,to promote,to hasten",person_action_scene,action_state,person advancing,
n3_06930,過ごす,すごす,"to pass,to spend,to go through,to tide over",person_action_scene,action_state,person passing,
n3_06980,閉じる,とじる,"to close (e.g. book, eyes),to shut",person_action_scene,action_state,person closing (e.g. book,
n3_06988,降ろす,おろす,"to take down,to launch,to drop",person_action_scene,action_state,person taking down,
n3_06991,除く,のぞく,"to remove,to exclude,to except",person_action_scene,action_state,person removing,
n3_06999,隠れる,かくれる,"to hide,to be hidden,to conceal oneself,to disappear",person_action_scene,action_state,person hiding,
n3_07003,雇う,やとう,"to employ,to hire",person_action_scene,action_state,person employing,
n3_07005,離れる,はなれる,"to be separated from,to leave,to go away,to be a long way off",person_action_scene,action_state,person being separated from,
n3_07020,頂く,いただく,"to receive,to take food or drink (hum)",person_action_scene,action_state,person receiving,
n3_07026,預ける,あずける,"to give into custody,to entrust,to deposit",person_action_scene,action_state,person giving into custody,
n3_07029,頼る,たよる,"to rely on,to have recourse to,to depend on",person_action_scene,action_state,person relying on,
n3_07036,飛ばす,とばす,"to skip over,to omit",person_action_scene,action_state,person skipping over,
n3_07037,飛び出す,とびだす,"to jump out,to rush out,to fly out",person_action_scene,action_state,person jumping out,
n3_07039,食う,くう,(male) (vulg) to eat,person_action_scene,action_state,person eating,
