id,jlpt_level,word,reading,meaning,jmdict_pos,jmdict_glosses,image_status,image_score,image_type,visual_domain,image_query_en,image_query_ja,distractor_pool,classification_reason,source
n1_00016,N1,おっかない,おっかない,frightening;huge,adjective (keiyoushi),frightening | scary | extreme | exaggerated | huge,scene_image,68,visual_state_scene,action_state,frightening scene,おっかない,action_state,adjective can be shown visually,Tanos JLPT vocabulary
n1_00017,N1,おどおど,オドオド / おどおど,coweringly;hesitantly,adverb (fukushi) | adverb taking the 'to' particle | noun or participle which takes the aux. verb suru,timidly | nervously | hesitantly | trembling (with fear) | fearfully,skip,10,not_recommended,skip,coweringly,おどおど,,function word or bound form,Tanos JLPT vocabulary
n1_00018,N1,お世辞,おせじ,flattery;compliment,noun (common) (futsuumeishi),flattery | compliment,review,55,noun_needs_review,general,flattery,お世辞,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00019,N1,お休み,おやすみ,holiday;absence;rest;Good night,noun (common) (futsuumeishi) | interjection (kandoushi),holiday | day off | absence | sleep | rest,review,55,noun_needs_review,general,holiday,お休み,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00020,N1,お使い,おつかい,errand,noun (common) (futsuumeishi),errand | mission | going on an errand | messenger | bearer,review,55,noun_needs_review,general,errand,お使い,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00021,N1,お供,おとも,attendant;companion,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru,attendant | companion,review,48,action_needs_review,person_family,person attendanting,お供,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00022,N1,お先に,おさきに,before;ahead;previously,"adverb (fukushi) | expressions (phrases, clauses, etc.)",before | previously | ahead | pardon me for leaving (before you),review,48,action_needs_review,person_family,person beforing,お先に,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00023,N1,お八,おやつ,1. (uk) between meal snack;afternoon refreshment;afternoon tea; 2. mid-day snack,,,direct_image,75,single_object_or_place,food_drink,1.  between meal snack,お八,food_drink,meaning suggests concrete domain: food_drink,Tanos JLPT vocabulary
n1_00024,N1,お出でになる,おいでになる,to be,"expressions (phrases, clauses, etc.) | Godan verb with 'ru' ending",to be | to come | to go,scene_image,72,person_action_scene,action_state,person being,お出でになる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary
n1_00025,N1,お喋り,おしゃべり,chattering;talk;idle talk;chat;chitchat;gossip;chatty;talkative;chatterbox;blabbermouth,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb | adjectival nouns or quasi-adjectives (keiyodoshi),chattering | talk | idle talk | chat | chitchat,review,48,action_needs_review,person_family,person chatteringing,お喋り,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00026,N1,お大事に,おだいじに,Take care of yourself,"expressions (phrases, clauses, etc.)",take care of yourself | get well soon,review,45,manual_review,general,Take care of yourself,お大事に,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00027,N1,お宮,おみや,Shinto shrine,noun (common) (futsuumeishi),Shinto shrine,review,55,noun_needs_review,general,Shinto shrine,お宮,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00028,N1,お巡りさん,おまわりさん,policeman (friendly term),noun (common) (futsuumeishi),police officer,review,55,noun_needs_review,general,policeman,お巡りさん,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00029,N1,お手上げ,おてあげ,all over;given in;given up hope;bring to knees,noun (common) (futsuumeishi),being done for | giving up | being in a hopeless situation | not knowing what to do | being brought to one's knees,review,55,noun_needs_review,general,all over,お手上げ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00030,N1,お早う,おはよう,Good morning,interjection (kandoushi),good morning,review,45,manual_review,general,Good morning,お早う,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00031,N1,お洒落,おしゃれ,smartly dressed;someone smartly dressed;fashion-conscious,adjectival nouns or quasi-adjectives (keiyodoshi) | noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,stylish | fashionable | trendy | chic | smartly dressed,review,48,action_needs_review,person_family,person smartlying dressed,お洒落,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00032,N1,お産,おさん,(giving) birth,noun (common) (futsuumeishi),(giving) birth | childbirth | delivery,review,55,noun_needs_review,general,birth,お産,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00033,N1,お目出度う,おめでとう,(ateji) (int) (uk) Congratulations!;an auspicious occasion!,interjection (kandoushi),congratulations! | well done! | best wishes! | all the best!,review,45,manual_review,general,Congratulations!,お目出度う,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00034,N1,お祖母さん,おばあさん,grandmother;female senior-citizen,noun (common) (futsuumeishi),grandmother | old woman | female senior citizen,direct_image,84,single_object_or_place,person_family,grandmother,お祖母さん,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary
n1_00035,N1,お祖父さん,おじいさん,grandfather;male senior-citizen,noun (common) (futsuumeishi),grandfather | male senior-citizen | old man,direct_image,84,single_object_or_place,person_family,grandfather,お祖父さん,person_family,concrete noun domain: person_family,Tanos JLPT vocabulary
n1_00036,N1,お菜,おかず,side dish;accompaniment for rice dishes,noun (common) (futsuumeishi),small dish (usu. one of several accompanying rice) | side dish | fill | fill-in (drumming) | jack-off material,review,55,noun_needs_review,general,side dish,お菜,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00037,N1,お蔭,おかげ,(your) backing;assistance,noun (common) (futsuumeishi),grace (of God) | benevolence (of Buddha) | blessing | assistance | help,review,55,noun_needs_review,general,backing,お蔭,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00038,N1,お蔭様で,おかげさまで,Thanks to god;thanks to you,"expressions (phrases, clauses, etc.)",thankfully | fortunately | luckily | by God's grace | under the gods' shadow,review,45,manual_review,general,Thanks to god,お蔭様で,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00039,N1,お襁褓,おむつ,diaper;nappy,noun (common) (futsuumeishi),diaper | nappy,review,55,noun_needs_review,general,diaper,お襁褓,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00040,N1,お邪魔します,おじゃまします,Excuse me for disturbing (interrupting) you,"expressions (phrases, clauses, etc.)",please excuse the intrusion | I'm coming in,review,45,manual_review,general,Excuse me for disturbing  you,お邪魔します,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00041,N1,お願いします,おねがいします,please,"expressions (phrases, clauses, etc.)",please,review,45,manual_review,general,please,お願いします,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00042,N1,かも知れない,かもしれない,may;might;perhaps;may be;possibly,"expressions (phrases, clauses, etc.)",may | might | perhaps | may be | possibly,review,45,manual_review,general,may,かも知れない,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00043,N1,がっくり,がっくり / ガックリ,heartbroken,adverb (fukushi) | noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | adverb taking the 'to' particle,heartbroken | crestfallen | dejected | disappointed | feeling exhausted,skip,10,not_recommended,skip,heartbroken,がっくり,,function word or bound form,Tanos JLPT vocabulary
n1_00044,N1,がっしり,がっしり,firmly;solidly;tough,adverb (fukushi) | adverb taking the 'to' particle | noun or participle which takes the aux. verb suru,firmly | solidly | sturdily | strongly | toughly,skip,10,not_recommended,skip,firmly,がっしり,,function word or bound form,Tanos JLPT vocabulary
n1_00045,N1,がっちり,がっちり / ガッチリ,solidly built;tightly;shrewd;calculating,adverb (fukushi) | adverb taking the 'to' particle | noun or participle which takes the aux. verb suru,solid | robust | well-built | tight | taut,skip,10,not_recommended,skip,solidly built,がっちり,,function word or bound form,Tanos JLPT vocabulary
n1_00046,N1,がる,がる,feel,suffix | Godan verb with 'ru' ending,to show signs of being | to feel | to think | to behave as if one were | to pretend,skip,10,not_recommended,skip,feel,がる,,function word or bound form,Tanos JLPT vocabulary
n1_00047,N1,きちっと,きちっと,exactly;perfectly,adverb (fukushi) | noun or participle which takes the aux. verb suru,exactly | perfectly,review,48,action_needs_review,person_family,person exactlying,きちっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00048,N1,きっかり,きっかり / キッカリ,exactly;precisely,adverb (fukushi),exactly | just | precisely | punctually | exactly on time,review,48,action_needs_review,person_family,person exactlying,きっかり,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00049,N1,きっちり,きっちり / キッチリ,precisely;tightly,adverb (fukushi) | adverb taking the 'to' particle | noun or participle which takes the aux. verb suru,exactly | precisely | punctually | on the dot | closely,skip,10,not_recommended,skip,precisely,きっちり,,function word or bound form,Tanos JLPT vocabulary
n1_00050,N1,きっぱり,きっぱり / キッパリ,clearly;plainly;distinctly,adverb (fukushi) | adverb taking the 'to' particle | noun or participle which takes the aux. verb suru,clearly | plainly | distinctly | decisively | flatly,skip,10,not_recommended,skip,clearly,きっぱり,,function word or bound form,Tanos JLPT vocabulary
n1_00051,N1,くっきり,くっきり / クッキリ,distinctly;clearly;boldly,adverb (fukushi) | adverb taking the 'to' particle | noun or participle which takes the aux. verb suru,clearly (standing out) | distinctly | sharply | boldly | in sharp relief,skip,10,not_recommended,skip,distinctly,くっきり,,function word or bound form,Tanos JLPT vocabulary
n1_00052,N1,くっ付く,くっつく,to adhere to;to keep close to,Godan verb with 'ku' ending | intransitive verb,to adhere to | to stick to | to cling to | to keep close to | to go along with,scene_image,72,person_action_scene,action_state,person adhering to,くっ付く,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary
n1_00053,N1,くっ付ける,くっつける,to attach,Ichidan verb | transitive verb,to attach | to stick together | to paste | to glue | to place together,scene_image,72,person_action_scene,action_state,person attaching,くっ付ける,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary
n1_00054,N1,ぐっと,ぐっと / グッと,firmly;fast;much;more,adverb (fukushi),suddenly | at once | in one go | with a jerk | with a gulp,review,48,action_needs_review,person_family,person firmlying,ぐっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00055,N1,ぐらい,くらい / ぐらい,approximately,suffix | particle,approximately | about | around | or so | to (about) the extent that,skip,10,not_recommended,skip,approximately,ぐらい,,function word or bound form,Tanos JLPT vocabulary
n1_00056,N1,けれど,けれど / けれども,but;however,conjunction | particle,but | however | although,skip,10,not_recommended,skip,but,けれど,,function word or bound form,Tanos JLPT vocabulary
n1_00057,N1,げっそり,げっそり / ゲッソリ,being disheartened;losing weight,noun or participle which takes the aux. verb suru | adverb taking the 'to' particle | adverb (fukushi),to be disheartened | to be dejected | to be discouraged | to be disappointed | suddenly (losing a lot of weight),skip,10,not_recommended,skip,being disheartened,げっそり,,function word or bound form,Tanos JLPT vocabulary
n1_00058,N1,こだわる,こだわる,to fuss over;to be particular about;to be concerned about,Godan verb with 'ru' ending | intransitive verb,to be obsessive (about) | to be overly concerned (with) | to fuss (over) | to worry too much (about) | to be picky (about),scene_image,72,person_action_scene,action_state,person fussing over,こだわる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary
n1_00059,N1,この間,このあいだ,the other day;lately;recently,noun (common) (futsuumeishi) | adverb (fukushi),the other day | lately | recently | during this period | meanwhile,review,48,action_needs_review,person_family,person otherring day,この間,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00060,N1,この頃,このごろ,recently,adverb (fukushi) | noun (common) (futsuumeishi),these days | nowadays | now | at present | recently,review,48,action_needs_review,person_family,person recentlying,この頃,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00061,N1,ご座います,ございます,to be (polite);to exist,"expressions (phrases, clauses, etc.) | auxiliary verb",to be | to exist | to be (doing) | did | (have) done,skip,10,not_recommended,skip,to be,ご座います,,function word or bound form,Tanos JLPT vocabulary
n1_00062,N1,ご無沙汰,ごぶさた,not writing or contacting for a while,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,"not writing or contacting for a while | neglecting (failing) to write (call, visit, etc.) | long silence",review,48,action_needs_review,person_family,person notting writing or contacting for a while,ご無沙汰,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00063,N1,ご苦労様,ごくろうさま,Thank you very much for your....,"expressions (phrases, clauses, etc.) | adjectival nouns or quasi-adjectives (keiyodoshi)",thank you (for your hard work) | I appreciate your efforts,scene_image,68,visual_state_scene,action_state,Thank you very much for your.... scene,ご苦労様,action_state,adjective can be shown visually,Tanos JLPT vocabulary
n1_00064,N1,ご馳走,ごちそう,feast;treating (someone),noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | transitive verb,treat (esp. food and drink) | entertainment | treating someone (to a meal) | taking someone to dinner | gorgeous dinner,review,48,action_needs_review,person_family,person feasting,ご馳走,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00065,N1,ご馳走さま,ごちそうさま,feast,interjection (kandoushi),thank you (for the meal) | that was a delicious meal | thank you (for displaying lovey-dovey behaviour),review,45,manual_review,general,feast,ご馳走さま,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00066,N1,さっと,さっと / サッと,quickly;suddenly,adverb (fukushi),"quickly (esp. actions) | suddenly (esp. wind, rain, etc.)",review,48,action_needs_review,person_family,person quicklying,さっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00067,N1,さん,さん,Mr or Mrs,suffix,Mr | Mrs | Miss | Ms | -san,skip,10,not_recommended,skip,Mr or Mrs,さん,,function word or bound form,Tanos JLPT vocabulary
n1_00068,N1,し,あずさ / し / アズサ,10^24 (kanji is JIS X 0212 kuten 4906);septillion (American);quadrillion (British),noun (common) (futsuumeishi),Japanese cherry birch (Betula grossa) | yellow catalpa (Catalpa ovata) | Japanese mallotus (Mallotus japonicus) | printing block | catalpa bow,review,55,noun_needs_review,general,10^24,し,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00069,N1,しいんと,,silent (as the grave);(deathly) quiet,,,review,45,manual_review,general,silent,しいんと,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00070,N1,しくじる,しくじる,to fail;to fall through;to blunder,Godan verb with 'ru' ending | intransitive verb,to fail | to blunder | to mess up | to screw up | to be dismissed,scene_image,72,person_action_scene,action_state,person failing,しくじる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary
n1_00071,N1,しぶとい,しぶとい,tenacious;stubborn,adjective (keiyoushi),tenacious | tough | enduring | dogged | headstrong,scene_image,68,visual_state_scene,action_state,tenacious scene,しぶとい,action_state,adjective can be shown visually,Tanos JLPT vocabulary
n1_00072,N1,しまった,しまった,Damn it!,interjection (kandoushi),darn it! | darn! | oops! | oh dear! | oh no!,review,45,manual_review,general,Damn it!,しまった,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00073,N1,しょっちゅう,しょっちゅう,always;constantly,adverb (fukushi),always | all the time | constantly | frequently | often,review,48,action_needs_review,person_family,person alwaysing,しょっちゅう,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00074,N1,じっくり,じっくり,deliberately;carefully,adverb (fukushi) | adverb taking the 'to' particle,(slowly and) carefully | without haste | thoroughly | deliberately | closely,skip,10,not_recommended,skip,deliberately,じっくり,,function word or bound form,Tanos JLPT vocabulary
n1_00075,N1,じゃん拳,じゃんけん,rock-scissors-paper game,noun (common) (futsuumeishi) | noun or participle which takes the aux. verb suru | intransitive verb,rock-paper-scissors (game) | janken,review,48,action_needs_review,person_family,person rock-scissors-paperring game,じゃん拳,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00076,N1,すばしこい,すばしっこい / すばしこい,nimble;smart;quick,adjective (keiyoushi),quick | nimble | agile | sharp | shrewd,scene_image,68,visual_state_scene,action_state,nimble scene,すばしこい,action_state,adjective can be shown visually,Tanos JLPT vocabulary
n1_00077,N1,すれ違う,すれちがう,to pass by one another;to disagree;to miss each other,Godan verb with 'u' ending | intransitive verb,to pass (by) each other | to brush past | to miss (meeting) each other | to fail to meet | to be at odds,scene_image,72,person_action_scene,action_state,person passing by one another,すれ違う,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary
n1_00078,N1,すんなり,すんなり,pass with no objection;slim;slender,adverb taking the 'to' particle | adverb (fukushi) | noun or participle which takes the aux. verb suru,slim | slender | lithe | supple | smoothly,skip,10,not_recommended,skip,pass with no objection,すんなり,,function word or bound form,Tanos JLPT vocabulary
n1_00079,N1,ずばり,ズバリ / ずばり,decisively;decidedly;once and for all;unreservedly;frankly,adverb (fukushi) | adverb taking the 'to' particle,decisively | decidedly | boldly | once and for all | unreservedly,skip,10,not_recommended,skip,decisively,ずばり,,function word or bound form,Tanos JLPT vocabulary
n1_00080,N1,ずぶ濡れ,ずぶぬれ,soaked;dripping wet,nouns which may take the genitive case particle 'no' | noun (common) (futsuumeishi),dripping wet | soaked | drenched,skip,10,not_recommended,skip,soaked,ずぶ濡れ,,function word or bound form,Tanos JLPT vocabulary
n1_00081,N1,ずらっと,ずらっと / ズラッと,in a line;in a row,adverb (fukushi),in a line | in a row,review,48,action_needs_review,person_family,person ining a line,ずらっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00082,N1,ずるずる,ずるずる / ズルズル / づるづる,sound or act of dragging;loose;inconclusive but unwanted situation;trailingly,adverb (fukushi) | adverb taking the 'to' particle,(dragging a large or heavy item) slowly | (falling) little by little | (slipping) gradually | (drawing back) slowly | with a slither,skip,10,not_recommended,skip,sound or act of dragging,ずるずる,,function word or bound form,Tanos JLPT vocabulary
n1_00083,N1,ずれ,ずれ / ズレ,gap;slippage,noun (common) (futsuumeishi),gap | lag | slippage | difference | discrepancy,review,55,noun_needs_review,general,gap,ずれ,general,"noun, but concreteness is uncertain",Tanos JLPT vocabulary
n1_00084,N1,ずれる,ずれる / ズレる / づれる,to slide;to slip off,Ichidan verb | intransitive verb,to slide | to slip off | to get dislocated | to be out of alignment | to get dislodged,scene_image,72,person_action_scene,action_state,person sliding,ずれる,action_state,verb can be shown as an action scene,Tanos JLPT vocabulary
n1_00085,N1,その上,そのうえ,in addition;furthermore,conjunction | noun (common) (futsuumeishi) | adverb (fukushi),in addition | furthermore | above (which) | on top of (which),skip,10,not_recommended,skip,in addition,その上,,function word or bound form,Tanos JLPT vocabulary
n1_00086,N1,その内,そのうち,eventually;sooner or later;of the previously mentioned,"expressions (phrases, clauses, etc.) | adverb (fukushi)",before very long | soon | someday | one of these days | sooner or later,review,48,action_needs_review,person_family,person eventuallying,その内,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00087,N1,その外,そのほか,besides;in addition;the rest,"expressions (phrases, clauses, etc.) | noun (common) (futsuumeishi) | nouns which may take the genitive case particle 'no' | adverb (fukushi)",the rest | the others | in addition (to that) | besides that | other than that,skip,10,not_recommended,skip,besides,その外,,function word or bound form,Tanos JLPT vocabulary
n1_00088,N1,その為,そのため,hence;for that reason,"expressions (phrases, clauses, etc.)",hence | for that reason,review,45,manual_review,general,hence,その為,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00089,N1,ぞんざい,ぞんざい,rude;careless;slovenly,adjectival nouns or quasi-adjectives (keiyodoshi),rough | careless | slovenly | slipshod | rude,scene_image,68,visual_state_scene,action_state,rude scene,ぞんざい,action_state,adjective can be shown visually,Tanos JLPT vocabulary
n1_00090,N1,たった,たった,only;merely;but;no more than,noun or verb acting prenominally | adverb (fukushi),only | merely | but | no more than,review,48,action_needs_review,person_family,person onlying,たった,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00091,N1,だぶだぶ,だぶだぶ / ダブダブ,loose;baggy,adjectival nouns or quasi-adjectives (keiyodoshi) | nouns which may take the genitive case particle 'no' | adverb (fukushi) | adverb taking the 'to' particle | noun or participle which takes the aux. verb suru,loose (of clothing) | baggy | flabby | saggy | sloshing,skip,10,not_recommended,skip,loose,だぶだぶ,,function word or bound form,Tanos JLPT vocabulary
n1_00092,N1,だらけ,だらけ,implying (negatively) that something is full of e.g. mistakes,"noun, used as a suffix","full of (e.g. mistakes) | riddled with | covered all over with (blood, mud, etc.)",skip,10,not_recommended,skip,implying  that something is full of e.g. mistakes,だらけ,,function word or bound form,Tanos JLPT vocabulary
n1_00093,N1,ちやほや,ちやほや / チヤホヤ,pamper;make a fuss of;spoil,noun or participle which takes the aux. verb suru | transitive verb | adverb (fukushi) | adverb taking the 'to' particle,to make a fuss over | to pamper | to spoil | to indulge | to flatter (with attention),skip,10,not_recommended,skip,pamper,ちやほや,,function word or bound form,Tanos JLPT vocabulary
n1_00094,N1,ちょくちょく,ちょくちょく,often;frequently;now and then;occasionally,adverb (fukushi),often | frequently | now and then | occasionally,review,48,action_needs_review,person_family,person oftenning,ちょくちょく,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00095,N1,ちらっと,ちらっと / チラッと / チラっと,at a glance;by accident,adverb (fukushi),at a glance | by accident,review,48,action_needs_review,person_family,person ating a glance,ちらっと,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00096,N1,てっきり,てっきり,surely;certainly;beyond doubt,adverb (fukushi),surely | certainly | without doubt,review,48,action_needs_review,person_family,person surelying,てっきり,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00097,N1,てんで,てんで,(not) at all;altogether;entirely,adverb (fukushi),(not) at all | completely | utterly | entirely | altogether,review,48,action_needs_review,person_family,person ating all,てんで,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00098,N1,でかい,でかい / でっかい / デカイ,huge,adjective (keiyoushi),huge | big | enormous,scene_image,68,visual_state_scene,action_state,huge scene,でかい,action_state,adjective can be shown visually,Tanos JLPT vocabulary
n1_00099,N1,と,と,1. if (conjunction); 2. promoted pawn (shogi) (abbr),particle | conjunction | noun (common) (futsuumeishi),"if | when | and | with | used for quoting (thoughts, speech, etc.)",skip,10,not_recommended,skip,1. if,と,,function word or bound form,Tanos JLPT vocabulary
n1_00100,N1,とんだ,とんだ,terrible;awful;serious;preposterous;absolutely not,pre-noun adjectival (rentaishi),unexpected | unlikely | strange | terrible | awful,scene_image,68,visual_state_scene,action_state,terrible scene,とんだ,action_state,adjective can be shown visually,Tanos JLPT vocabulary
n1_00101,N1,どうぞ宜しく,どうぞよろしく,pleased to meet you,"expressions (phrases, clauses, etc.)",pleased to meet you | how do you do | my regards (to someone) | my greetings | best wishes,review,45,manual_review,general,pleased to meet you,どうぞ宜しく,general,insufficient POS signal,Tanos JLPT vocabulary
n1_00102,N1,どうにか,どうにか,in some way or other;one way or another,adverb (fukushi) | noun or participle which takes the aux. verb suru,in some way or other | one way or another | somehow | only just | barely,review,48,action_needs_review,person_family,person ining some way or other,どうにか,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00103,N1,どうやら,どうやら,it seems like;somehow or other,adverb (fukushi),possibly | apparently | (seem) likely | seemingly | somehow or other,review,48,action_needs_review,person_family,person iting seems like,どうやら,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
n1_00104,N1,なんか,なんか,things like ...;or something like that .. (often derogatory),particle | adverb (fukushi),something like ... | things like ... | someone like ... | the likes of ...,skip,10,not_recommended,skip,things like ...,なんか,,function word or bound form,Tanos JLPT vocabulary
n1_00105,N1,なんだかんだ,なんだかんだ / なんだかだ,something or other,adverb (fukushi),something or other | one thing or another | this or that,review,48,action_needs_review,person_family,person somethinging or other,なんだかんだ,person_family,"verb, but visual clarity may vary",Tanos JLPT vocabulary
